good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Ofisten çıkarken birini gördü.,Ofisten çıkarken kimseyi gördü.,birini,kimseyi,gördü,npi_licensing
Birileri evde yumurta olmadığını fark etmiş.,Kimse evde yumurta olmadığını fark etmiş.,Birileri,Kimse,fark etmiş,npi_licensing
Annem yurt dışına daha önce çıkmıştı.,Annem yurt dışına daha önce hiç çıkmıştı.,∅,hiç,çıkmıştı,npi_licensing
Benden ne istediğini anladım.,Benden ne istediğini hiç anladım.,∅,hiç,anladım,npi_licensing
Birine nereye gittiğini söylemiş.,Hiç kimseye nereye gittiğini söylemiş.,Birine,Hiç kimseye,söylemiş,npi_licensing
Bir yönetici çalışanların fazla mesai yapmamasına karışabilir.,Hiçbir yönetici çalışanların fazla mesai yapmamasına karışabilir.,Bir,Hiçbir,karışabilir,npi_licensing
Aslında çocukluğuma dair bir şey hatırlıyorum.,Aslında çocukluğuma dair hiçbir şey hatırlıyorum.,bir şey,hiçbir şey,hatırlıyorum,npi_licensing
Onu sahneye çıkmaya ikna edebilirsin.,Onu sahneye çıkmaya asla ikna edebilirsin.,∅,asla,edebilirsin,npi_licensing
Bana anahtarları evde unuttuğunu söyle.,Bana sakın anahtarları evde unuttuğunu söyle.,∅,sakın,söyle,npi_licensing
Anneleri o çocukla görüşmelerine izin verir.,Anneleri o çocukla görüşmelerine asla izin verir.,∅,asla,verir,npi_licensing
Arkadaşlarımdan biri yardım etti.,Arkadaşlarımdan kimse yardım etti.,biri,kimse,yardım etti,npi_licensing
Bu konuda fikrim var.,Bu konuda hiç fikrim var.,∅,hiç,fikrim var,npi_licensing
Dün biri geldi.,Dün kimse geldi.,biri,kimse,geldi,npi_licensing
Evden çıkmadan bir şey yiyebilirsin.,Evden çıkmadan hiçbir şey yiyebilirsin.,bir şey,hiçbir şey,yiyebilirsin,npi_licensing
Ay sonuna param kaldı.,Ay sonuna hiç param kaldı.,∅,hiç,kaldı,npi_licensing
Bana haber getirdi.,Bana hiç haber getirdi.,∅,hiç,getirdi,npi_licensing
