good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Biz bu yaptıklarınızı hiç hak etmiyoruz.,Siz bu yaptıklarınızı hiç hak etmiyoruz.,Biz,Siz,etmiyoruz,subject_verb_agreement
Doktorlar bu şartta çalışmak zorunda değiller.,Doktor bu şartta çalışmak zorunda değiller.,Doktorlar,Doktor,değiller,subject_verb_agreement
Sen bu zamana kadar yaptıklarınızı görmüşsündür.,Siz bu zamana kadar yaptıklarınızı görmüşsündür.,Sen,Siz,görmüşsündür,subject_verb_agreement
Ben artık gitmediğimiz yer kalmayınca aramayı bıraktım.,Biz artık gitmediğimiz yer kalmayınca aramayı bıraktım.,Ben,Biz,bıraktım,subject_verb_agreement
O geçen ay birlikte tatile gittiğimizi herkesten saklamış.,Biz geçen ay birlikte tatile gittiğimizi herkesten saklamış.,O,Biz,saklamış,subject_verb_agreement
Sanatçılar basın toplantısı için konferans salonunda toplandılar.,Sanatçı basın toplantısı için konferans salonunda toplandılar.,Sanatçılar,Sanatçı,toplandılar,subject_verb_agreement
Onlar bu sefer hiç zorlanmadılar.,O bu sefer hiç zorlanmadılar.,Onlar,O,zorlanmadılar,subject_verb_agreement
Eleştirmenler beğenmedikleri mekanları zaten not etmişlerdi.,Eleştirmen beğenmedikleri mekanları zaten not etmişlerdi.,Onlar,O,etmişlerdi,subject_verb_agreement
Siz geçen gün de bahsettiğimiz mevzuyu çözmek için gerçekten çok uğraştınız.,Biz geçen gün de bahsettiğimiz mevzuyu çözmek için gerçekten çok uğraştınız.,Siz,Biz,uğraştınız,subject_verb_agreement
Biz tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.,Sen tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.,Biz,Sen,unutmuşuz,subject_verb_agreement
Öğrenciler projelerini zamanında teslim ettiler.,Öğrenci projelerini zamanında teslim ettiler.,Öğrenciler,Öğrenci,ettiler,subject_verb_agreement
Sen bu konuda herkesten daha bilgilisin.,Siz bu konuda herkesten daha bilgilisin.,Sen,Siz,bilgilisin,subject_verb_agreement
Biz yarınki maç için antrenman yapacağız.,Onlar yarınki maç için antrenman yapacağız.,Biz,Onlar,yapacağız,subject_verb_agreement
Çocuklar bahçede top oynuyorlar.,Çocuk bahçede top oynuyorlar.,Çocuklar,Çocuk,oynuyorlar,subject_verb_agreement
Mühendisler yeni sistemi kurmak için gece boyu çalıştılar.,Mühendis yeni sistemi kurmak için gece boyu çalıştılar.,Mühendisler,Mühendis,çalıştılar,subject_verb_agreement
Siz bu kararı tek başınıza almamalıydınız.,Biz bu kararı tek başınıza almamalıydınız.,Siz,Biz,almamalıydınız,subject_verb_agreement
Ben bu konuda hiçbir şey bilmiyorum.,Biz bu konuda hiçbir şey bilmiyorum.,Ben,Biz,bilmiyorum,subject_verb_agreement
Kediler bütün gün pencerenin önünde uyudular.,Kedi bütün gün pencerenin önünde uyudular.,Kediler,Kedi,uyudular,subject_verb_agreement
Onlar dün akşam konsere gitmişler.,Sen dün akşam konsere gitmişler.,Onlar,Sen,gitmişler,subject_verb_agreement
Biz bu sorunu daha önce çözdük.,Siz bu sorunu daha önce çözdük.,Biz,Siz,çözdük,subject_verb_agreement
Sen bu evi tek başına temizlemişsin.,O bu evi tek başına temizlemişsin.,Sen,O,temizlemişsin,subject_verb_agreement
Sağlıkçılar olay yerine hemen yetiştiler.,Sağlıkçı olay yerine hemen yetiştiler.,Sağlıkçılar,Sağlıkçı,yetiştiler,subject_verb_agreement
Ben yarın İstanbul'a gideceğim.,Biz yarın İstanbul'a gideceğim.,Ben,Biz,gideceğim,subject_verb_agreement
Kuşlar ağacın dallarına konmuşlar.,Kuş ağacın dallarına konmuşlar.,Kuşlar,Kuş,konmuşlar,subject_verb_agreement
Siz bu işi çok iyi biliyorsunuz.,Onlar bu işi çok iyi biliyorsunuz.,Siz,Onlar,biliyorsunuz,subject_verb_agreement
Öğretmenler toplantıda yeni kuralları açıkladılar.,Öğretmen toplantıda yeni kuralları açıkladılar.,Öğretmenler,Öğretmen,açıkladılar,subject_verb_agreement
O bize her zaman yardım eder.,Sen bize her zaman yardım eder.,O,Sen,eder,subject_verb_agreement
Biz bu konuda hemfikiriz.,Siz bu konuda hemfikiriz.,Biz,Siz,hemfikiriz,subject_verb_agreement
Çocuklar parkta oyun oynuyorlar.,Çocuk parkta oyun oynuyorlar.,Çocuklar,Çocuk,oynuyorlar,subject_verb_agreement
