good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Yönetmen oyunculara isimlerini dağıttı.,Yönetmen oyuncuları isimlerini dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Yönetmen sanatçılara kimliklerini dağıttı.,Yönetmen sanatçıları kimliklerini dağıttı.,sanatçılara,sanatçıları,dağıttı,argument_structure,ditransitive
Küçük çocuk teyzesine mağazadaki giysiyi gösterdi.,Küçük çocuk teyzesini mağazadaki giysiyi gösterdi.,teyzesine,teyzesini,gösterdi,argument_structure,ditransitive
Küçük çocuk annesine vitrindeki telefonu gösterdi.,Küçük çocuk annesini vitrindeki telefonu gösterdi.,annesine,annesini,gösterdi,argument_structure,ditransitive
Kuzenim kediyi duvara götürdü.,Kuzenim kediye duvara götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Dün gece kızı apar topar doktora götürdük.,Dün gece kıza apar topar doktora götürdük.,kızı,kıza,götürdük,argument_structure,ditransitive
Babam bugün parkta üniversite öğretmenime rastlamış.,Babam bugün parkı üniversite öğretmenime rastlamış.,parkta,parkı,rastlamış,argument_structure,ditransitive
Arkadaşım bana yeni bir farkı önerdi.,Arkadaşım beni yeni bir farkı önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Oğlum bisikleti annene ödünç verdi.,Oğlum bisikletle annene ödünç verdi.,bisikleti,bisikletle,ödünç verdi,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki duvara astı.,Ayakkabılarını çıkarıp paltosuna girişteki duvara astı.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Arkadaşım bana opera bileti aldı.,Arkadaşım beni opera bileti aldı.,bana,beni,aldı,argument_structure,ditransitive
Çocuk babasına en sevdiği oyu verdi.,Çocuk babasını en sevdiği oyu verdi.,babasına,babasını,verdi,argument_structure,ditransitive
Antrenör atletlere beslenme programı hazırladı.,Antrenör atletleri beslenme programı hazırladı.,atletlere,atletleri,hazırladı,argument_structure,ditransitive
Teyzem kitapları çocuklara dağıttı.,Teyzem kitaplara çocuklara dağıttı.,kitapları,kitaplara,dağıttı,argument_structure,ditransitive
Yıllardır kendini sadece hizmetine adamış.,Yıllardır kendinden sadece hizmetine adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Dileklerini yazdığı kartı bir ağacın ailene bağladı.,Dileklerini yazdığı karta bir ağacın ailene bağladı.,kartı,karta,bağladı,argument_structure,ditransitive
Dün gece oğlanı apar topar eve götürdük.,Dün gece oğlana apar topar eve götürdük.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
