good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Ormanda aslanı iştahla yiyen sırtlan dün sabah tepede koşuyordu.,Ormanda aslanın iştahla yiyen sırtlan dün sabah tepede koşuyordu.,aslanı,aslanın,yiyen,relative_clauses
Ormanda aslanı iştahla yiyen sırtlanı daha önce görmüştü.,Ormanda aslanın iştahla yiyen sırtlanı daha önce görmüştü.,aslanı,aslanın,yiyen,relative_clauses
Ormanda aslanın iştahla yediği sırtlan dün sabah tepede koşuyordu.,Ormanda aslanı iştahla yediği sırtlan dün sabah tepede koşuyordu.,aslanın,aslanı,yediği sırtlan,relative_clauses
Ormanda aslanın iştahla yediği sırtlanı daha önce görmüştü.,Ormanda aslanı iştahla yediği sırtlanı daha önce görmüştü.,aslanın,aslanı,yediği sırtlanı,relative_clauses
Ormanda sırtlanı iştahla yiyen aslan dün sabah tepede koşuyordu.,Ormanda sırtlanın iştahla yiyen aslan dün sabah tepede koşuyordu.,sırtlanı,sırtlanın,yiyen,relative_clauses
Ormanda sırtlanı iştahla yiyen aslanı daha önce görmüştü.,Ormanda sırtlanın iştahla yiyen aslanı daha önce görmüştü.,sırtlanı,sırtlanın,yiyen,relative_clauses
Ormanda sırtlanın iştahla yediği aslan dün sabah tepede koşuyordu.,Ormanda sırtlanı iştahla yediği aslan dün sabah tepede koşuyordu.,sırtlanın,sırtlanı,yediği aslan,relative_clauses
Ormanda sırtlanın iştahla yediği aslanı daha önce görmüştü.,Ormanda sırtlanı iştahla yediği aslanı daha önce görmüştü.,sırtlanın,sırtlanı,yediği aslanı,relative_clauses
Konserde sevgilisini gururla izleyen adam onu çok etkilemiş.,Konserde sevgilisinin gururla izleyen adam onu çok etkilemiş.,sevgilisini,sevgilisinin,izleyen,relative_clauses
Konserde sevgilisini gururla izleyen adamı ben de fark ettim.,Konserde sevgilisinin gururla izleyen adamı ben de fark ettim.,sevgilisini,sevgilisinin,izleyen,relative_clauses
Konserde sevgilisinin gururla izlediği piyanist onu çok etkilemiş.,Konserde sevgilisini gururla izlediği piyanist onu çok etkilemiş.,sevgilisinin,sevgilisini,izlediği piyanist,relative_clauses
Konserde sevgilisinin gururla izlediği piyanisti ben de fark ettim.,Konserde sevgilisini gururla izlediği piyanisti ben de fark ettim.,sevgilisinin,sevgilisini,izlediği piyanisti,relative_clauses
Sınavda gözetmeni sessizce uyaran öğrenci yerine geçti.,Sınavda gözetmenin sessizce uyaran öğrenci yerine geçti.,gözetmeni,gözetmenin,uyaran,relative_clauses
Sınavda gözetmeni sessizce uyaran öğrenciyi herkes gördü.,Sınavda gözetmenin sessizce uyaran öğrenciyi herkes gördü.,gözetmeni,gözetmenin,uyaran,relative_clauses
Sınavda gözetmenin sessizce uyardığı öğrenci yerine geçti.,Sınavda gözetmeni sessizce uyardığı öğrenci yerine geçti.,gözetmenin,gözetmeni,uyardığı öğrenci,relative_clauses
