good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Hasan'ın makaleyi yazdığını biliyorum.;Hasan'ın yazdığını makaleyi biliyorum.;makaleyi yazdığını ;yazdığını makaleyi;-;scrambling
Otelde çarşafların değiştirildiğine emin olamadık.;Otelde değiştirildiğine çarşafların emin olamadık.;çarşafların değiştirildiğine;değiştirildiğine çarşafların;-;scrambling
Kapıya gelen işportacının kendisini dolandırıldığını sonradan anladı.;Kapıya gelen işportacının dolandırıldığını kendisini sonradan anladı.;kendisini dolandırıldığını;dolandırıldığını kendisini;-;scrambling
Kardeşinin doğruyu söylediğine inanıyor.;Kardeşinin söylediğine doğruyu inanıyor.;doğruyu söylediğine;söylediğine doğruyu;-;scrambling
Sizin de açılışa katılmanızı çok isteriz.;Sizin de katılmanızı açılışa çok isteriz.;açılışa katılmanızı;katılmanızı açılışa;-;scrambling
Çocuklar bayramın gelmesini heyecanla bekliyor.;Çocuklar gelmesini bayramın heyecanla bekliyor.;bayramın gelmesini;gelmesini bayramın;-;scrambling
Hep birlikte arabanın çıkarılmasına yardım ettik.;Hep birlikte çıkarılmasına arabanın yardım ettik.;arabanın çıkarılmasına;çıkarılmasına arabanın;-;scrambling
Her sabah aynı fırından ekmek aldığını söyledi.;Her sabah aynı fırından aldığını ekmek söyledi.;ekmek aldığını;aldığını ekmek;-;scrambling
Okulun önünde çocukların karnelerini almasını bekliyoruz.;Okulun önünde çocukların almasını karnelerini bekliyoruz.;karnelerini almasını;almasını karnelerini;-;scrambling
Patronu arayıp bacağını kırdığını haber verdi.;Patronu arayıp kırdığını bacağını haber verdi.;bacağını kırdığını;kırdığını bacağını;-;scrambling
Müdürün projeyi onayladığını duydum.;Müdürün onayladığını projeyi duydum.;projeyi onayladığını;onayladığını projeyi;-;scrambling  
Köpeğin komşunun bahçesini kazdığını gördüm.;Köpeğin kazdığını komşunun bahçesini gördüm.;komşunun bahçesini kazdığını;kazdığını komşunun bahçesini;-;scrambling  
Polislerin hırsızı yakaladığını duyduk.;Polislerin yakaladığını hırsızı duyduk.;hırsızı yakaladığını;yakaladığını hırsızı;-;scrambling  
Doktorun ilacı yazdığını unutmuş.;Doktorun yazdığını ilacı unutmuş.;ilacı yazdığını;yazdığını ilacı;-;scrambling  
Annemin pastayı yaptığını sanıyordum.;Annemin yaptığını pastayı sanıyordum.;pastayı yaptığını;yaptığını pastayı;-;scrambling  
Müşterinin hesabı kapattığını öğrendik.;Müşterinin kapattığını hesabı öğrendik.;hesabı kapattığını;kapattığını hesabı;-;scrambling  
Kardeşimin bisikleti çaldığını itiraf etti.;Kardeşimin çaldığını bisikleti itiraf etti.;bisikleti çaldığını;çaldığını bisikleti;-;scrambling  
Yolcuların valizlerini kaybettiğini duyurdu.;Yolcuların kaybettiğini valizlerini duyurdu.;valizlerini kaybettiğini;kaybettiğini valizlerini;-;scrambling  
Adamın cüzdanını düşürdüğünü gördüm.;Adamın düşürdüğünü cüzdanını gördüm.;cüzdanını düşürdüğünü;düşürdüğünü cüzdanını;-;scrambling  
Çocuğun camı kırdığını kimse görmedi.;Çocuğun kırdığını camı kimse görmedi.;camı kırdığını;kırdığını camı;-;scrambling  
Yönetici maaşları ödediğini söyledi.;Yönetici ödediğini maaşları söyledi.;maaşları ödediğini;ödediğini maaşları;-;scrambling  
Bebeğe mamasını yedirdiğini gördük.;Bebeğe yedirdiğini mamasını gördük.;mamasını yedirdiğini;yedirdiğini mamasını;-;scrambling  
Garsonun siparişi yanlış getirdiğini fark ettik.;Garsonun yanlış getirdiğini siparişi fark ettik.;siparişi yanlış getirdiğini;yanlış getirdiğini siparişi;-;scrambling
Çocuğun köpeğini sevmesine izin verdi.;Çocuğun sevmesine köpeğini izin verdi.;köpeğini sevmesine;sevmesine köpeğini;-;scrambling  
Kızın kedisini sevmesine izin verdi.;Kızın sevmesine kedisini izin verdi.;kedisini sevmesine;sevmesine kedisini;-;scrambling 
Ufaklığın ödevlerini bitirmesine sevindim.;Ufaklığın bitirmesine ödevlerini sevindim.;ödevlerini bitirmesine;bitirmesine ödevlerini;-;scrambling  
Hizmetlinin odasını topladığını söyledi.;Hizmetlinin topladığını odasını söyledi.;odasını topladığını;topladığını odasını;-;scrambling  
