good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Gösteride casus numara yaptı.,Gösteride casus her numara yaptı.,∅,her,numara,quantifiers  
Yolculukta radyo dinledik.,Yolculukta her radyo dinledik.,∅,her,radyo,quantifiers  
Belli ki çiftlikte yumurta topladık.,Belli ki çiftlikte her yumurta topladık.,∅,her,yumurta,quantifiers
Melike matematik odanda problem çözmüş.,Melike matematik odanda her problem çözmüş.,∅,her,problem,quantifiers
Müşteri vitrinde kıyafet beğendi.,Müşteri vitrinde çoğu kıyafet beğendi.,∅,çoğu,kıyafet,quantifiers
Gösteride oyun numara yaptı.,Gösteride oyun her numara yaptı.,∅,her,numara,quantifiers  
Kafede kurye tepsi taşıdı.,Kafede kurye her tepsi taşıdı.,∅,her,tepsi,quantifiers
Yani gölde sandal kiraladık.,Yani gölde çoğu sandal kiraladık.,∅,çoğu,sandal,quantifiers
Öyle görünüyor ki kafede şekerlik boşaldı.,Öyle görünüyor ki kafede çoğu şekerlik boşaldı.,∅,çoğu,şekerlik,quantifiers
Yemekten sonra tatlı yedik.,Yemekten sonra çoğu tatlı yedik.,∅,çoğu,tatlı,quantifiers  
Anlaşılıyor ki karnın acıkınca ekmek yersin.,Anlaşılıyor ki karnın acıkınca her ekmek yersin.,∅,her,ekmek,quantifiers
Anlaşılıyor ki mağazada ayakkabı denedim.,Anlaşılıyor ki mağazada çoğu ayakkabı denedim.,∅,çoğu,ayakkabı,quantifiers  
Taşınırken eşya sattılar.,Taşınırken çoğu eşya sattılar.,∅,çoğu,eşya,quantifiers
Müşteriler markette ayakkabı denedi.,Müşteriler markette her ayakkabı denedi.,∅,her,ayakkabı,quantifiers
Dikkati dağılmadığı krizce çalışırken müzik dinler.,Dikkati dağılmadığı krizce çalışırken çoğu müzik dinler.,∅,çoğu,müzik,quantifiers
Görünüşe göre mağazada vitrin düzenlediler.,Görünüşe göre mağazada her vitrin düzenlediler.,∅,her,vitrin,quantifiers
Kafede se tepsi taşıdı.,Kafede se her tepsi taşıdı.,∅,her,tepsi,quantifiers
Sınıf ilgisinde müze rehberi bilgi verdi.,Sınıf ilgisinde müze rehberi çoğu bilgi verdi.,∅,çoğu,bilgi,quantifiers  
Altın günü için ablam tatlı yaptı.,Altın günü için ablam çoğu tatlı yaptı.,∅,çoğu,tatlı,quantifiers
Yazın deniz aranda kitap okurum.,Yazın deniz aranda çoğu kitap okurum.,∅,çoğu,kitap,quantifiers  
Gümrükte bavul açtılar.,Gümrükte her bavul açtılar.,∅,her,bavul,quantifiers
Yol yanından çiçek topladık.,Yol yanından çoğu çiçek topladık.,∅,çoğu,çiçek,quantifiers  
