good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Neyi kıyafetine koyan kadın panikledi?,Onu niye kıyafetine koyan kadın panikledi?,Neyi,Onu niye,kadın,island_effects  
Kimi hastanede seyahat eden hemşire üzüldü?,Onu neden hastanede seyahat eden hemşire üzüldü?,Kimi,Onu neden,hemşire,island_effects
Neyi yerde besleyen çocuk mutlu oldu?,Onu nasıl yerde besleyen çocuk mutlu oldu?,Neyi,Onu nasıl,çocuk,island_effects
Kimin unuttuğu şapka evde kalmış?,Onun niye unuttuğu şapka evde kalmış?,Kimin,Onun niye,şapka,island_effects
Öyle görünüyor ki kimi arayan sekreter telaşlandı?,Öyle görünüyor ki onu niçin arayan sekreter telaşlandı?,Kimi,Onu niçin,sekreter,island_effects  
Neyi kapıya getiren eleman azar işitti?,Onu neden kapıya getiren eleman azar işitti?,Neyi,Onu neden,eleman,island_effects
Neyi kapıya bırakan garson düşürdü?,Onu nasıl kapıya bırakan garson düşürdü?,Neyi,Onu nasıl,garson,island_effects  
Öyle görünüyor ki kimin yaktığı mumlar hala yanıyor?,Öyle görünüyor ki onun neden yaktığı mumlar hala yanıyor?,Kimin,Onun neden,mumlar,island_effects
Anlaşılıyor ki kimin önerdiği kitabı aldın?,Anlaşılıyor ki onun niye önerdiği kitabı aldın?,Kimin,Onun niye,kitabı,island_effects
Neyi dalın altına gömen köpek havladı?,Onu neden dalın altına gömen köpek havladı?,Neyi,Onu neden,köpek,island_effects
Neyi arabasında taşıyan kadın endişeli görünüyordu?,Onu niye arabasında taşıyan kadın endişeli görünüyordu?,Neyi,Onu niye,kadın,island_effects
O halde kimin yaktığı ateş hala yanıyor?,O halde onun neden yaktığı ateş hala yanıyor?,Kimin,Onun neden,ateş,island_effects
Kimi sinemaya çağıran basçıyı beğeniyor?,Onu neden sinemaya çağıran basçıyı beğeniyor?,Kimi,Onu neden,basçıyı,island_effects
Yani kimin çizdiği resim sergileniyor?,Yani onun nasıl çizdiği resim sergileniyor?,Kimin,Onun nasıl,resim,island_effects
Neyi çalışma tuvaletinde unutan yazar geri döndü?,Onu neden çalışma tuvaletinde unutan yazar geri döndü?,Neyi,Onu neden,yazar,island_effects
Kimi güldürmeye çalışan çocuk sevgi çekti?,Onu niye güldürmeye çalışan çocuk sevgi çekti?,Kimi,Onu niye,çocuk,island_effects
Kimi eczanede gören kasiyer gülümsedi?,Onu nasıl eczanede gören kasiyer gülümsedi?,Kimi,Onu nasıl,kasiyer,island_effects
Kimi yerde gören çocuk heyecanlandı?,Onu neden yerde gören çocuk heyecanlandı?,Kimi,Onu neden,çocuk,island_effects  
Neyi kıyafetine koymayı unutan kadın geri döndü?,Onu niçin kıyafetine koymayı unutan kadın geri döndü?,Neyi,Onu niçin,kadın,island_effects
Öyle görünüyor ki kimin söylediği şarkı herkesi etkiledi?,Öyle görünüyor ki onun nasıl söylediği şarkı herkesi etkiledi?,Kimin,Onun nasıl,şarkı,island_effects
Kimi kenarda bekleyen polis sorguladı?,Onu neden kenarda bekleyen polis sorguladı?,Kimi,Onu neden,polis,island_effects  
Anlaşılan kimin söylediği şarkı herkesi etkiledi?,Anlaşılan onun nasıl söylediği şarkı herkesi etkiledi?,Kimin,Onun nasıl,şarkı,island_effects
Demek ki kimin kaybettiği cüzdan bulundu?,Demek ki onun nasıl kaybettiği cüzdan bulundu?,Kimin,Onun nasıl,cüzdan,island_effects
