good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Tiyatroda oyuncuların büyük sorumlulukla canlandırdığı bir oyun izledik.,Tiyatroda oyuncuların büyük sorumlulukla canlandırdığı oyun izledik.,bir,∅,oyun,determiners
O halde dönerken götürmek için çok tüketilen bir peynir seçtim.,O halde dönerken götürmek için çok tüketilen peynir seçtim.,bir,∅,peynir,determiners
Öyle görünüyor ki kamp yaparken kullanışlı olacak bir çadır satın aldık.,Öyle görünüyor ki kamp yaparken kullanışlı olacak çadır satın aldık.,bir,∅,çadır,determiners
Avukata Rusça'ya projesini yaptırdığı bir sözleşme iletti.,Avukata Rusça'ya projesini yaptırdığı sözleşme iletti.,bir,∅,sözleşme,determiners
Akşam evine içinde erişte ve sebze bulunan nefis bir çorba yaptım.,Akşam evine içinde erişte ve sebze bulunan nefis çorba yaptım.,bir,∅,çorba,determiners
Belli ki kütüphanede sessizce çalışan bir öğrenci vardı.,Belli ki kütüphanede sessizce çalışan öğrenci vardı.,bir,∅,öğrenci,determiners
Geçen sene köyde camdan yapılan bir baraka gördüm.,Geçen sene köyde camdan yapılan baraka gördüm.,bir,∅,baraka,determiners
Düğün anısı olarak bütçemizi zorlamayan bir takı alacağız.,Düğün anısı olarak bütçemizi zorlamayan takı alacağız.,bir,∅,takı,determiners
Öyle görünüyor ki piknik için rahatça oturacağımız geniş bir battaniye aldım.,Öyle görünüyor ki piknik için rahatça oturacağımız geniş battaniye aldım.,bir,∅,battaniye,determiners
Yeni açılan kafede şefin önerdiği nefis bir tabak denedik.,Yeni açılan kafede şefin önerdiği nefis tabak denedik.,bir,∅,tabak,determiners
Yani düğün için zarif bir elbise aldım.,Yani düğün için zarif elbise aldım.,bir,∅,elbise,determiners
Yani piknik için rahatça oturacağımız geniş bir battaniye aldım.,Yani piknik için rahatça oturacağımız geniş battaniye aldım.,bir,∅,battaniye,determiners
Akşam yemeğine içinde erişte ve sebze bulunan nefis bir çorba yaptım.,Akşam yemeğine içinde erişte ve sebze bulunan nefis çorba yaptım.,bir,∅,çorba,determiners
İçinde bol miktarda elmam ve kakao olan bir pasta yaptılar.,İçinde bol miktarda elmam ve kakao olan pasta yaptılar.,bir,∅,pasta,determiners
Bütün done beni tok tutan sağlıklı bir smoothie içtim.,Bütün done beni tok tutan sağlıklı smoothie içtim.,bir,∅,smoothie,determiners
Stüdyolarında saygınla kaydedilen bir şarkı dinledik.,Stüdyolarında saygınla kaydedilen şarkı dinledik.,bir,∅,şarkı,determiners
Öyle görünüyor ki konferansta ilginç bir sunum dinledik.,Öyle görünüyor ki konferansta ilginç sunum dinledik.,bir,∅,sunum,determiners
Kütüphaneden herkesin önerdiği bir kitap aldım.,Kütüphaneden herkesin önerdiği kitap aldım.,bir,∅,kitap,determiners
Belli ki i̇nternette çok beğenilen bir yemek tarifi denedim.,Belli ki i̇nternette çok beğenilen yemek tarifi denedim.,bir,∅,yemek tarifi,determiners
Stüdyolarında sevginle kaydedilen bir şarkı dinledik.,Stüdyolarında sevginle kaydedilen şarkı dinledik.,bir,∅,şarkı,determiners
Bankaya Korece'ye çevirisini yaptırdığı bir sözleşme verdi.,Bankaya Korece'ye çevirisini yaptırdığı sözleşme verdi.,bir,∅,sözleşme,determiners
Şu halde bahçede büyüyen rengarenk bir çiçek kopardım.,Şu halde bahçede büyüyen rengarenk çiçek kopardım.,bir,∅,çiçek,determiners
Yeni açılan restoranda şef tarafından önerilen bir tatlı denedik.,Yeni açılan restoranda şef tarafından önerilen tatlı denedik.,bir,∅,tatlı,determiners
Bankaya Korece'ye baskısını yaptırdığı bir sözleşme verdi.,Bankaya Korece'ye baskısını yaptırdığı sözleşme verdi.,bir,∅,sözleşme,determiners
Doğum saati hediyesi olarak fiyatı bize makul gelen bir bileklik seçtik.,Doğum saati hediyesi olarak fiyatı bize makul gelen bileklik seçtik.,bir,∅,bileklik,determiners
Kitapçının vitrininde destek çekici bir roman gördüm.,Kitapçının vitrininde destek çekici roman gördüm.,bir,∅,roman,determiners
Belli ki laboratuvarda yeni geliştirilen bir ilaç denediler.,Belli ki laboratuvarda yeni geliştirilen ilaç denediler.,bir,∅,ilaç,determiners
Sabah kahvaltısında lezzetli bir omlet yedim.,Sabah kahvaltısında lezzetli omlet yedim.,bir,∅,omlet,determiners
Notere Fransızca'ya hizmetini yaptırdığı bir evrak götürdü.,Notere Fransızca'ya hizmetini yaptırdığı evrak götürdü.,bir,∅,evrak,determiners
Gizem baskıları baya farklı duran bir bluz aldı.,Gizem baskıları baya farklı duran bluz aldı.,bir,∅,bluz,determiners
Akşam yemeğine yakınlık etmesi için lezzetli bir çorba yaptım.,Akşam yemeğine yakınlık etmesi için lezzetli çorba yaptım.,bir,∅,çorba,determiners
Bütün say beni tok tutan sağlıklı bir smoothie içtim.,Bütün say beni tok tutan sağlıklı smoothie içtim.,bir,∅,smoothie,determiners
Anlaşılan i̇nternette çok beğenilen bir yemek tarifi denedim.,Anlaşılan i̇nternette çok beğenilen yemek tarifi denedim.,bir,∅,yemek tarifi,determiners
Sinema kanası için herkesin beğendiği bir film seçti.,Sinema kanası için herkesin beğendiği film seçti.,bir,∅,film,determiners
Ormanda hızlıca koşan bir geyik fark ettik.,Ormanda hızlıca koşan geyik fark ettik.,bir,∅,geyik,determiners
Pazar sonu ailece keyif aldığımız bir kahvaltı yaptık.,Pazar sonu ailece keyif aldığımız kahvaltı yaptık.,bir,∅,kahvaltı,determiners
Anlaşılan mozart'ın gençliğinin anlatıldığı bir program seyrettik.,Anlaşılan mozart'ın gençliğinin anlatıldığı program seyrettik.,bir,∅,program,determiners
Doğum tatili için üstünü çileklerle süslediğimiz bir pasta hazırladık.,Doğum tatili için üstünü çileklerle süslediğimiz pasta hazırladık.,bir,∅,pasta,determiners
Müdüre İngilizce'ye çevirisini yaptırdığı önemli bir belge teslim etti.,Müdüre İngilizce'ye çevirisini yaptırdığı önemli belge teslim etti.,bir,∅,belge,determiners
Yani mozart'ın gençliğinin anlatıldığı bir program seyrettik.,Yani mozart'ın gençliğinin anlatıldığı program seyrettik.,bir,∅,program,determiners
Yeni isimde bana yardımcı olacak bir ajanda satın aldım.,Yeni isimde bana yardımcı olacak ajanda satın aldım.,bir,∅,ajanda,determiners
Marketten frende olan bir deterjan aldım.,Marketten frende olan deterjan aldım.,bir,∅,deterjan,determiners
Mezuniyet ikramiyesi olarak fiyatı uygun gelen bir araba alırız.,Mezuniyet ikramiyesi olarak fiyatı uygun gelen araba alırız.,bir,∅,araba,determiners
Arkadaşıma indirim etmek için şık bir saat seçtim.,Arkadaşıma indirim etmek için şık saat seçtim.,bir,∅,saat,determiners
Sinema saati için herkesin beğendiği bir film seçti.,Sinema saati için herkesin beğendiği film seçti.,bir,∅,film,determiners
Dokusu beyazı andıran güzel bir mont beğendik.,Dokusu beyazı andıran güzel mont beğendik.,bir,∅,mont,determiners
Sabah evinde lezzetli bir omlet yedim.,Sabah evinde lezzetli omlet yedim.,bir,∅,omlet,determiners
Geçen sene köyde kilden yapılan bir baraka gördüm.,Geçen sene köyde kilden yapılan baraka gördüm.,bir,∅,baraka,determiners
Yeni açılan otelde şef tarafından önerilen bir tatlı denedik.,Yeni açılan otelde şef tarafından önerilen tatlı denedik.,bir,∅,tatlı,determiners
Pastanede ilginle hazırlanan bir pasta aldık.,Pastanede ilginle hazırlanan pasta aldık.,bir,∅,pasta,determiners
Dün akşam lezzeti altımda kalan bir çorba içtim.,Dün akşam lezzeti altımda kalan çorba içtim.,bir,∅,çorba,determiners
Deniz kenarında serinleten bir rüzgar hissettik.,Deniz kenarında serinleten rüzgar hissettik.,bir,∅,rüzgar,determiners
Evin mobilyayı için zarif bir tablo aldım.,Evin mobilyayı için zarif tablo aldım.,bir,∅,tablo,determiners
Yeni açılan barda şef tarafından önerilen bir tatlı denedik.,Yeni açılan barda şef tarafından önerilen tatlı denedik.,bir,∅,tatlı,determiners
Ders sırasında polis faydalı bir öneri sundu.,Ders sırasında polis faydalı öneri sundu.,bir,∅,öneri,determiners
Tiyatroda oyuncuların büyük parayla canlandırdığı bir oyun izledik.,Tiyatroda oyuncuların büyük parayla canlandırdığı oyun izledik.,bir,∅,oyun,determiners
Akşam okumak için selerin beğendiği bir makale seçtiler.,Akşam okumak için selerin beğendiği makale seçtiler.,bir,∅,makale,determiners
Doğum günü için altını çileklerle süslediğimiz bir pasta hazırladık.,Doğum günü için altını çileklerle süslediğimiz pasta hazırladık.,bir,∅,pasta,determiners
Laboratuvarda yeni geliştirilen bir ilaç denediler.,Laboratuvarda yeni geliştirilen ilaç denediler.,bir,∅,ilaç,determiners
Beyaz dantel fazlaları içeren zarif bir gelinlik denedim.,Beyaz dantel fazlaları içeren zarif gelinlik denedim.,bir,∅,gelinlik,determiners
Doğum günü hediyesi olarak fiyatı bize makul gelen bir bileklik seçtik.,Doğum günü hediyesi olarak fiyatı bize makul gelen bileklik seçtik.,bir,∅,bileklik,determiners
Yeni açılan projeden ustanın tasarladığı bir kolye seçtik.,Yeni açılan projeden ustanın tasarladığı kolye seçtik.,bir,∅,kolye,determiners
Görünüşe göre konferansta ilginç bir sunum dinledik.,Görünüşe göre konferansta ilginç sunum dinledik.,bir,∅,sunum,determiners
Nazan rengi kırmızıya çalan bir elbise beğendi.,Nazan rengi kırmızıya çalan elbise beğendi.,bir,∅,elbise,determiners
Ders çalışırken sessiz ve ferah bir kafe say ediyorum.,Ders çalışırken sessiz ve ferah kafe say ediyorum.,bir,∅,kafe,determiners
Yeni açılan butikten ustanın tasarladığı bir kolye seçtik.,Yeni açılan butikten ustanın tasarladığı kolye seçtik.,bir,∅,kolye,determiners
Leonardo da Vinci'nin karakterinin anlatıldığı etkileyici bir film izledik.,Leonardo da Vinci'nin karakterinin anlatıldığı etkileyici film izledik.,bir,∅,film,determiners
Zeynep boyayı sarıya çalan desenli bir ceket denedi.,Zeynep boyayı sarıya çalan desenli ceket denedi.,bir,∅,ceket,determiners
Şu halde konferansta ilginç bir sunum dinledik.,Şu halde konferansta ilginç sunum dinledik.,bir,∅,sunum,determiners
Sahafta çok kabul edilen bir kitap buldum.,Sahafta çok kabul edilen kitap buldum.,bir,∅,kitap,determiners
Konferansta ilginç bir sunum dinledik.,Konferansta ilginç sunum dinledik.,bir,∅,sunum,determiners
Bu gece beni kendime getiren bir kahve içtim.,Bu gece beni kendime getiren kahve içtim.,bir,∅,kahve,determiners
Yeni açılan serviste şef tarafından önerilen bir tatlı denedik.,Yeni açılan serviste şef tarafından önerilen tatlı denedik.,bir,∅,tatlı,determiners
Akşam isine içinde erişte ve sebze bulunan nefis bir çorba yaptım.,Akşam isine içinde erişte ve sebze bulunan nefis çorba yaptım.,bir,∅,çorba,determiners
Kitapçının vitrininde talep çekici bir roman gördüm.,Kitapçının vitrininde talep çekici roman gördüm.,bir,∅,roman,determiners
Dönerken götürmek için çok tüketilen bir peynir seçtim.,Dönerken götürmek için çok tüketilen peynir seçtim.,bir,∅,peynir,determiners
Yolda sessizle yürüyen bir adam gördüm.,Yolda sessizle yürüyen adam gördüm.,bir,∅,adam,determiners
Butikte göz kamaştıran ince askılı bir elbise gördüm.,Butikte göz kamaştıran ince askılı elbise gördüm.,bir,∅,elbise,determiners
Dün akşam lezzeti damağımda kalan bir tatlı yedim.,Dün akşam lezzeti damağımda kalan tatlı yedim.,bir,∅,tatlı,determiners
Dokusu kumpası andıran güzel bir mont beğendik.,Dokusu kumpası andıran güzel mont beğendik.,bir,∅,mont,determiners
Duvarda asılı duran bir resim inceledik.,Duvarda asılı duran resim inceledik.,bir,∅,resim,determiners
Ufaklığın dikkatini çekecek eğlenceli bir oyuncak aldım.,Ufaklığın dikkatini çekecek eğlenceli oyuncak aldım.,bir,∅,oyuncak,determiners
Ahmet rengi siyaha çalan parlak bir gömlek satın aldı.,Ahmet rengi siyaha çalan parlak gömlek satın aldı.,bir,∅,gömlek,determiners
Patrona Japonca'ya projesini yaptırdığı bir rapor sundu.,Patrona Japonca'ya projesini yaptırdığı rapor sundu.,bir,∅,rapor,determiners
Doğum günü için tersini çileklerle süslediğimiz bir pasta hazırladık.,Doğum günü için tersini çileklerle süslediğimiz pasta hazırladık.,bir,∅,pasta,determiners
Görünüşe göre kütüphaneden herkesin önerdiği bir kitap aldım.,Görünüşe göre kütüphaneden herkesin önerdiği kitap aldım.,bir,∅,kitap,determiners
Ahmet rengi sarıya çalan parlak bir gömlek satın aldı.,Ahmet rengi sarıya çalan parlak gömlek satın aldı.,bir,∅,gömlek,determiners
Butikte damar kamaştıran ince askılı bir elbise gördüm.,Butikte damar kamaştıran ince askılı elbise gördüm.,bir,∅,elbise,determiners
Mezuniyet kutlaması için markayı makul sayılabilecek bir araç aldılar.,Mezuniyet kutlaması için markayı makul sayılabilecek araç aldılar.,bir,∅,araç,determiners
Marketten malda olan bir deterjan aldım.,Marketten malda olan deterjan aldım.,bir,∅,deterjan,determiners
Anlaşılıyor ki kamp yaparken kullanışlı olacak bir çadır satın aldık.,Anlaşılıyor ki kamp yaparken kullanışlı olacak çadır satın aldık.,bir,∅,çadır,determiners
Anlaşılan kütüphanede sessizce çalışan bir öğrenci vardı.,Anlaşılan kütüphanede sessizce çalışan öğrenci vardı.,bir,∅,öğrenci,determiners
Laboratuvarda çok etkili bir ilaç analiz ettiler.,Laboratuvarda çok etkili ilaç analiz ettiler.,bir,∅,ilaç,determiners
Yeni açılan restoranda şefin önerdiği nefis bir tabak denedik.,Yeni açılan restoranda şefin önerdiği nefis tabak denedik.,bir,∅,tabak,determiners
Sabah kahvaltısında lezzetli bir omlet yedim.,Sabah kahvaltısında lezzetli omlet yedim.,bir,∅,omlet,determiners
Dün akşam lezzeti elimde kalan bir çorba içtim.,Dün akşam lezzeti elimde kalan çorba içtim.,bir,∅,çorba,determiners
Marketten addi uygun olan bir peynir aldım.,Marketten addi uygun olan peynir aldım.,bir,∅,peynir,determiners
Deniz dışında serinleten bir rüzgar hissettik.,Deniz dışında serinleten rüzgar hissettik.,bir,∅,rüzgar,determiners
Parkta gerilim verici bir yarış izledik.,Parkta gerilim verici yarış izledik.,bir,∅,yarış,determiners
Seyretmek için ailelerin tavsiye ettiği bir dizi seçtik.,Seyretmek için ailelerin tavsiye ettiği dizi seçtik.,bir,∅,dizi,determiners
Anlaşılan müdüre İtalyanca'ya çevirisini yaptırdığı bir doküman götürdü.,Anlaşılan müdüre İtalyanca'ya çevirisini yaptırdığı doküman götürdü.,bir,∅,doküman,determiners
Dokusu kadifeyi andıran güzel bir mont beğendik.,Dokusu kadifeyi andıran güzel mont beğendik.,bir,∅,mont,determiners
O bistroda tadına doyamadığımız bir salata yedik.,O bistroda tadına doyamadığımız salata yedik.,bir,∅,salata,determiners
Bebeğin eline sallayınca ses çıkaran bir oyuncak verdi.,Bebeğin eline sallayınca ses çıkaran oyuncak verdi.,bir,∅,oyuncak,determiners
Demek ki i̇nternette çok beğenilen bir yemek tarifi denedim.,Demek ki i̇nternette çok beğenilen yemek tarifi denedim.,bir,∅,yemek tarifi,determiners
Yolda zevkle yürüyen bir adam gördüm.,Yolda zevkle yürüyen adam gördüm.,bir,∅,adam,determiners
Avukata Rusça'ya hizmetini yaptırdığı bir sözleşme iletti.,Avukata Rusça'ya hizmetini yaptırdığı sözleşme iletti.,bir,∅,sözleşme,determiners
İnternette çok beğenilen bir yemek tarifi denedim.,İnternette çok beğenilen yemek tarifi denedim.,bir,∅,yemek tarifi,determiners
Bütün takvim beni tok tutan sağlıklı bir smoothie içtim.,Bütün takvim beni tok tutan sağlıklı smoothie içtim.,bir,∅,smoothie,determiners
Ormanda hızlıca koşan bir geyik engel ettik.,Ormanda hızlıca koşan geyik engel ettik.,bir,∅,geyik,determiners
Bol fındık ve karanfil içeren enfes bir kek yaptılar.,Bol fındık ve karanfil içeren enfes kek yaptılar.,bir,∅,kek,determiners
Pazar sabahı arkadaşça keyif aldığımız bir kahvaltı yaptık.,Pazar sabahı arkadaşça keyif aldığımız kahvaltı yaptık.,bir,∅,kahvaltı,determiners
Ormanda hızlıca koşan bir geyik bozuk ettik.,Ormanda hızlıca koşan geyik bozuk ettik.,bir,∅,geyik,determiners
Kitapçının vitrininde merak çekici bir roman gördüm.,Kitapçının vitrininde merak çekici roman gördüm.,bir,∅,roman,determiners
Demek ki kütüphanede sessizce çalışan bir öğrenci vardı.,Demek ki kütüphanede sessizce çalışan öğrenci vardı.,bir,∅,öğrenci,determiners
Sabahları suyumu ısıtan bir çorba içmeyi seviyorum.,Sabahları suyumu ısıtan çorba içmeyi seviyorum.,bir,∅,çorba,determiners
