good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Dalgıçlar midyeleri kayalıkların altından alır.,Dalgıçlar midyeleri kayalıkların altından alar.,alır,alar,-,irregular_forms
Memlekete her döndüğünde ilk iş babaannesini görür.,Memlekete her döndüğünde ilk iş babaannesini görer.,görür,görer,-,irregular_forms
Annem her şeyimi eliyle koymuş gibi bulur.,Annem her şeyimi eliyle koymuş gibi bular.,bulur,bular,-,irregular_forms
Zam yapılmazsa fiyatlar aynı kalır.,Zam yapılmazsa fiyatlar aynı kalar.,kalır,kalar,-,irregular_forms
Güneş görmeyen petunyalar hemen ölür.,Güneş görmeyen petunyalar hemen öler.,ölür,öler,-,irregular_forms
Yılın bazı dönemlerinde Venüs Ay'ın çok yakınında durur.,Yılın bazı dönemlerinde Venüs Ay'ın çok yakınında durar.,durur,durar,-,irregular_forms
Sevgilisine özel günler dışında da hediye verir.,Sevgilisine özel günler dışında da hediye verer.,verir,verer,-,irregular_forms
Annen birkaç saate İstanbul'a varır.,Annen birkaç saate İstanbul'a varar.,varır,varar,-,irregular_forms
Her hafta bizimle okey oynamaya gelir.,Her hafta bizimle okey oynamaya geler.,gelir,geler,-,irregular_forms
Herkes buralardaki en iyi pilavcının Fevzi abi olduğunu bilir.,Herkes buralardaki en iyi pilavcının Fevzi abi olduğunu biler.,bilir,biler,-,irregular_forms
Toplantıda her zaman aynı şeyler olur.,Toplantıda her zaman aynı şeyler olar.,olur,olar,-,irregular_forms  
Çocuklar dondurmayı çok sevdiği için sık sık alır.,Çocuklar dondurmayı çok sevdiği için sık sık alar.,alır,alar,-,irregular_forms  
Yaşlı adam her sabah aynı durakta durur.,Yaşlı adam her sabah aynı durakta durar.,durur,durar,-,irregular_forms  
Bu ağaçlar sonbaharda yapraklarını dökmeyip yeşil kalır.,Bu ağaçlar sonbaharda yapraklarını dökmeyip yeşil kalar.,kalır,kalar,-,irregular_forms  
Futbolcu penaltı atarken topu hep aynı köşeye vurur.,Futbolcu penaltı atarken topu hep aynı köşeye vurar.,vurur,vurar,-,irregular_forms  
Öğrenciler sınavda zor soruları görünce şaşırır ama çalışanlar hepsini bilir.,Öğrenciler sınavda zor soruları görünce şaşırır ama çalışanlar hepsini biler.,bilir,biler,-,irregular_forms  
Otobüs tam zamanında terminale varır.,Otobüs tam zamanında terminale varar.,varır,varar,-,irregular_forms
Kuşlar sonbaharda göç etmez burada kalır.,Kuşlar sonbaharda göç etmez burada kalar.,kalır,kalar,-,irregular_forms
Müzisyen kalabalığı her akşam görür.,Müzisyen kalabalığı her akşam görer.,görür,görer,-,irregular_forms
Yarışmacılar parkuru bitirince varır.,Yarışmacılar parkuru bitirince varar.,varır,varar,-,irregular_forms
Çocuklar saklananı hemen bulur.,Çocuklar saklananı hemen bular.,bulur,bular,-,irregular_forms
Bitkiler susuz kalınca ölür.,Bitkiler susuz kalınca öler.,ölür,öler,-,irregular_forms
Toplantıda son söz müdürün olur.,Toplantıda son söz müdürün olar.,olur,olar,-,irregular_forms
Postacı her sabah erken gelir.,Postacı her sabah erken geler.,gelir,geler,-,irregular_forms
Köpek yabancıyı görünce durur.,Köpek yabancıyı görünce durar.,durur,durar,-,irregular_forms
Aşçı yemeğin tadına bakınca bilir.,Aşçı yemeğin tadına bakınca biler.,bilir,biler,-,irregular_forms
Futbolcu topa sert vurur.,Futbolcu topa sert vurar.,vurur,vurar,-,irregular_forms
Öğrenci tüm soruları doğru bilir.,Öğrenci tüm soruları doğru biler.,bilir,biler,-,irregular_forms
Misafirler akşam yemeğine gelir.,Misafirler akşam yemeğine geler.,gelir,geler,-,irregular_forms
Tren istasyona tam zamanında varır.,Tren istasyona tam zamanında varar.,varır,varar,-,irregular_forms
Çocuk odasında kaybolan oyuncağı bulur.,Çocuk odasında kaybolan oyuncağı bular.,bulur,bular,-,irregular_forms
Balıkçı ağını denizden alır.,Balıkçı ağını denizden alar.,alır,alar,-,irregular_forms
Doktor hastayı muayene edince görür.,Doktor hastayı muayene edince görer.,görür,görer,-,irregular_forms
Balıkçı ağını her sabah denizden alır.,Balıkçı ağını her sabah denizden alar.,alır,alar,-,irregular_forms
Doktor hastanın durumunu kontrol edince görür.,Doktor hastanın durumunu kontrol edince görer.,görür,görer,-,irregular_forms
Yaşlı adam bankta oturup saatlerce durur.,Yaşlı adam bankta oturup saatlerce durar.,durur,durar,-,irregular_forms
Çiçekler susuz kaldığında hemen ölür.,Çiçekler susuz kaldığında hemen öler.,ölür,öler,-,irregular_forms
Öğretmen zor soruyu açıklayınca öğrenciler bilir.,Öğretmen zor soruyu açıklayınca öğrenciler biler.,bilir,biler,-,irregular_forms
Misafirler her cumartesi akşamı bize gelir.,Misafirler her cumartesi akşamı bize geler.,gelir,geler,-,irregular_forms
Otobüs şehir merkezine her saat başı varır.,Otobüs şehir merkezine her saat başı varar.,varır,varar,-,irregular_forms
Çocuk kaybolan köpeğini parkta bulur.,Çocuk kaybolan köpeğini parkta bular.,bulur,bular,-,irregular_forms
Futbolcu penaltı atarken topa sert vurur.,Futbolcu penaltı atarken topa sert vurar.,vurur,vurar,-,irregular_forms
Yarışmacılar maratonun sonuna doğru yavaşlar ama bitirince varır.,Yarışmacılar maratonun sonuna doğru yavaşlar ama bitirince varar.,varır,varar,-,irregular_forms
Toplantıda son karar her zaman başkanın olur.,Toplantıda son karar her zaman başkanın olar.,olur,olar,-,irregular_forms
Kurye paketleri kapıda hemen verir.,Kurye paketleri kapıda hemen verer.,verir,verer,-,irregular_forms
Kuşlar kış gelince güneye gitmez burada kalır.,Kuşlar kış gelince güneye gitmez burada kalar.,kalır,kalar,-,irregular_forms
