good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Uzay mekiğinde sıcaklık olmayınca tuhaf uyunur.,Uzay mekiğinde mürettebat tarafından sıcaklık olmayınca tuhaf uyunur.,∅,mürettebat tarafından,uyunur,passives
Uçak gemisinin güvertesinden karanıza atlandı.,Uçak gemisinin güvertesinden denizciler tarafından karanıza atlandı.,∅,denizciler tarafından,atlandı,passives
Yüzme havuzunda kurallara uygun şekilde yüzülür.,Yüzme havuzunda yüzücüler tarafından kurallara uygun şekilde yüzülür.,∅,yüzücüler tarafından,yüzülür,passives
Kumsalda sabah erken zamanlarda koşulur.,Kumsalda sporcular tarafından sabah erken zamanlarda koşulur.,∅,sporcular tarafından,koşulur,passives
Kütüphanede sesle bile konuşulmaz.,Kütüphanede öğrenciler tarafından sesle bile konuşulmaz.,∅,öğrenciler tarafından,konuşulmaz,passives
Mars altında basınçlı odalarda uyunur.,Mars altında koloniciler tarafından basınçlı odalarda uyunur.,∅,koloniciler tarafından,uyunur,passives
Final yılında eski kütüphanede çalışıldı.,Final yılında öğrenciler tarafından eski kütüphanede çalışıldı.,∅,öğrenciler tarafından,çalışıldı,passives
Festival alanında sabaha kadar dans edildi.,Festival alanında gençler tarafından sabaha kadar dans edildi.,∅,gençler tarafından,dans edildi,passives
Kışın bu dede buz üstünde yürünür.,Kışın bölgedekiler tarafından bu dede buz üstünde yürünür.,∅,bölgedekiler tarafından,yürünür,passives
Uzun uçuşlarda rahatça uyunur.,Uzun uçuşlarda yolcular tarafından rahatça uyunur.,∅,yolcular tarafından,uyunur,passives
Yoğun kar yağışında kulübenin dışında çabuk donulur.,Yoğun kar yağışında bekçiler tarafından kulübenin dışında çabuk donulur.,∅,bekçiler tarafından,donulur,passives
Otobüs yolda kalınca karanlıkta donuldu.,Otobüs yolda kalınca yolcular tarafından karanlıkta donuldu.,∅,yolcular tarafından,donuldu,passives
Antarktika'da -50 yerde hemen donulur.,Antarktika'da araştırmacılar tarafından -50 yerde hemen donulur.,∅,araştırmacılar tarafından,donulur,passives
Antrenman altında tempolu koşuldu.,Antrenman altında atletler tarafından tempolu koşuldu.,∅,atletler tarafından,koşuldu,passives
Antarktika'da -50 sırada hemen donulur.,Antarktika'da araştırmacılar tarafından -50 sırada hemen donulur.,∅,araştırmacılar tarafından,donulur,passives
Yaz aylarında bu sahilde bol bol yüzülür.,Yaz aylarında tatilciler tarafından bu sahilde bol bol yüzülür.,∅,tatilciler tarafından,yüzülür,passives
Sıcak yaz günlerinde golde uzanılır.,Sıcak yaz günlerinde insanlar tarafından golde uzanılır.,∅,insanlar tarafından,uzanılır,passives
Dağın tepesine ulaşılınca sevinçle bağrılıyor.,Dağın tepesine tırmananlar tarafından sevinçle bağrılıyor.,∅,tırmananlar tarafından,bağrılıyor,passives
Karla kaplı havalarda dikkatli yürünür.,Karla kaplı havalarda işe gidenler tarafından dikkatli yürünür.,∅,işe gidenler tarafından,yürünür,passives
Stadyumda yapay kumda hızlı koşulur.,Stadyumda sporcular tarafından yapay kumda hızlı koşulur.,∅,sporcular tarafından,koşulur,passives
Ormanlık konunda dikkatlice koşulur.,Ormanlık konunda sporcular tarafından dikkatlice koşulur.,∅,sporcular tarafından,koşulur,passives
Akıntılı sularda yüzülmez.,Akıntılı sularda insanlar tarafından yüzülmez.,∅,insanlar tarafından,yüzülmez,passives
Düğün evinde sabaha kadar dans edildi.,Düğün evinde davetliler tarafından sabaha kadar dans edildi.,∅,davetliler tarafından,dans edildi,passives
Olimpiyat köyünde sabahın ilk kıyafetleriyle koşulur.,Olimpiyat köyünde atletler tarafından sabahın ilk kıyafetleriyle koşulur.,∅,atletler tarafından,koşulur,passives
Şehir parkında sabah erken saatlerde koşulur.,Şehir parkında halk tarafından sabah erken saatlerde koşulur.,∅,halk tarafından,koşulur,passives
Sabah okul bahçesinde koşuldu.,Sabah öğrenciler tarafından okul bahçesinde koşuldu.,∅,öğrenciler tarafından,koşuldu,passives
Antrenmanda son sel hızlı koşuldu.,Antrenmanda sporcular tarafından son sel hızlı koşuldu.,∅,sporcular tarafından,koşuldu,passives
Sınav tarihinde gece geç saatlere kadar çalışıldı.,Sınav tarihinde üniversiteliler tarafından gece geç saatlere kadar çalışıldı.,∅,üniversiteliler tarafından,çalışıldı,passives
Anlaşılıyor ki sevilince daha çok gülümsenir.,Anlaşılıyor ki sevilince sevenler tarafından daha çok gülümsenir.,∅,sevenler tarafından,gülümsenir,passives
Plajda gün altında uzun süre yatılıyor.,Plajda turistler tarafından gün altında uzun süre yatılıyor.,∅,turistler tarafından,yatılıyor,passives
Köy içerinde davul zurna eşliğinde dans edildi.,Köy içerinde köylüler tarafından davul zurna eşliğinde dans edildi.,∅,köylüler tarafından,dans edildi,passives
Yarışın son dairesinde hızla koşuldu.,Yarışın son dairesinde maratoncular tarafından hızla koşuldu.,∅,maratoncular tarafından,koşuldu,passives
Yazın bu havuzda rahatça yüzülür.,Yazın turistler tarafından bu havuzda rahatça yüzülür.,∅,turistler tarafından,yüzülür,passives
Mars ailesinde basınçlı odalarda uyunur.,Mars ailesinde koloniciler tarafından basınçlı odalarda uyunur.,∅,koloniciler tarafından,uyunur,passives
Derinlerde uzun süre çalışıldı.,Derinlerde dalgıçlar tarafından duzun süre çalışıldı.,∅,dalgıçlar tarafından,çalışıldı,passives
Yarış evinde son turda hızlanılır.,Yarış evinde sürücüler tarafından son turda hızlanılır.,∅,sürücüler tarafından,hızlanılır,passives
Düğün dışında sabaha kadar dans edildi.,Düğün dışında davetliler tarafından sabaha kadar dans edildi.,∅,davetliler tarafından,dans edildi,passives
Yağmur yağınca şemsiye ile yürünür.,Yağmur yağınca insanlar tarafından şemsiye ile yürünür.,∅,insanlar tarafından,yürünür,passives
Yazın bu gölde serinlemek için yüzülür.,Yazın yerel halk tarafından bu gölde serinlemek için yüzülür.,∅,yerel halk tarafından,yüzülür,passives
Sıcak yaz günlerinde site karada serin serin yüzülür.,Sıcak yaz günlerinde site sakinleri tarafından site karada serin serin yüzülür.,∅,site sakinleri tarafından,yüzülür,passives
Yaz akşamları teknede keyifle yürünür.,Yaz akşamları çiftler tarafından teknede keyifle yürünür.,∅,çiftler tarafından,yürünür,passives
Görünüşe göre yazın ince giyinilir.,Görünüşe göre yazın insanlar tarafından ince giyinilir.,∅,insanlar tarafından,giyinilir,passives
Serbest dalışta 10 taraftan atlanıyor.,Serbest dalışta sporcular tarafından 10 taraftan atlanıyor.,∅,sporcular tarafından,atlanıyor,passives
