good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Kalabalığın etrafında şarkı söyledim.,Kalabalığın etrafında hiç şarkı söyledim.,∅,hiç,söyledim,npi_licensing
O sekilde anlaşabiliriz.,O sekilde asla anlaşabiliriz.,∅,asla,anlaşabiliriz,npi_licensing
Apartmanda ses duyuyorum.,Apartmanda hiç ses duyuyorum.,∅,hiç,duyuyorum,npi_licensing
Alt donemden birine tavsiye verdim.,Alt donemden hiç kimseye tavsiye verdim.,birine,hiç kimseye,verdim,npi_licensing
Bir garson sipariş aldı.,Hiçbir garson sipariş aldı.,Bir,Hiçbir,aldı,npi_licensing
Doğum gününü kutlayabileceğimiz bir yer biliyorum.,Doğum gününü kutlayabileceğimiz hiçbir yer biliyorum.,bir,hiçbir,biliyorum,npi_licensing
Şartları düşününce bu etkiyi alabiliriz.,Şartları düşününce bu etkiyi asla alabiliriz.,∅,asla,alabiliriz,npi_licensing
Toplantıda biri itiraz etti.,Toplantıda kimse itiraz etti.,biri,kimse,etti,npi_licensing
Geç kalan ambulans yolcuyu bekliyor.,Geç kalan ambulans yolcuyu hiç bekliyor.,∅,hiç,bekliyor,npi_licensing
Bir yönetici çalışanların fazla muayene yapmamasına karışabilir.,Hiçbir yönetici çalışanların fazla muayene yapmamasına karışabilir.,Bir,Hiçbir,karışabilir,npi_licensing
Demek ki kırmızı düğmeye bas.,Demek ki kırmızı düğmeye sakın bas.,∅,sakın,bas,npi_licensing
Personal yakınına girebilirsin.,Personal yakınına asla girebilirsin.,∅,asla,girebilirsin,npi_licensing
Sana neyin iyi geleceğini asistan bilir.,Sana neyin iyi geleceğini hiçbir asistan bilir.,∅,hiçbir,bilir,npi_licensing
Acı içindeki adama psikolog baktı.,Acı içindeki adama hiçbir psikolog baktı.,∅,hiçbir,baktı,npi_licensing
Onu sahneye çıkmaya kabul edebilirsin.,Onu sahneye çıkmaya asla kabul edebilirsin.,∅,asla,edebilirsin,npi_licensing
Bir müdür işçilere kabulün verdi.,Hiçbir müdür işçilere kabulün verdi.,Bir,Hiçbir,verdi,npi_licensing
Otobüste biri anahtarını unutmuş.,Otobüste kimse anahtarını unutmuş.,biri,kimse,unutmuş,npi_licensing
İhtiyaç suresi için şoför durdu.,İhtiyaç suresi için şoför hiç durdu.,∅,hiç,durdu,npi_licensing
Fırındaki tarifleri ye.,Fırındaki tarifleri sakın ye.,∅,sakın,ye,npi_licensing
Bir öğrenci öğretmenler yanına gidip soru sordu.,Hiçbir öğrenci öğretmenler yanına gidip soru sordu.,Bir,Hiçbir,sordu,npi_licensing
Doğum haftanı kutlayabileceğimiz bir yer biliyorum.,Doğum haftanı kutlayabileceğimiz hiçbir yer biliyorum.,bir,hiçbir,biliyorum,npi_licensing
Bu serviyi daha önce yemiştim.,Bu serviyi daha önce hiç yemiştim.,∅,hiç,yemiştim,npi_licensing
Onu taka davet edebiliriz.,Onu taka asla davet edebiliriz.,∅,asla,edebiliriz,npi_licensing
Bir şarkıcı festival çıkışında imza verdi.,Hiçbir şarkıcı festival çıkışında imza verdi.,Bir,Hiçbir,verdi,npi_licensing
Avukatla ilgili çıkan konuyu yay.,Avukatla ilgili çıkan sakın yay.,∅,sakın,yay,npi_licensing
Bir polis olaya tedbir etti.,Hiçbir polis olaya tedbir etti.,Bir,Hiçbir,etti,npi_licensing
Bu yayınevinin romanlarını okudum.,Bu yayınevinin romanlarını hiç okudum.,∅,hiç,okudum,npi_licensing
O halde japonya'da yaşarken bunları görmüşsündür.,O halde japonya'da yaşarken bunları hiç görmüşsündür.,∅,hiç,görmüşsündür,npi_licensing
İş teklifini tasdik edebilirim.,İş teklifini asla tasdik edebilirim.,∅,asla,edebilirim,npi_licensing
Yani balıkçıda denediğim mezeyi beğendim.,Yani balıkçıda denediğim hiçbir mezeyi beğendim.,∅,hiçbir,beğendim,npi_licensing
Görünüşe göre arkadaşlarımdan biri yardım etti.,Görünüşe göre arkadaşlarımdan kimse yardım etti.,biri,kimse,yardım etti,npi_licensing
Bu soruyu daha önce yemiştim.,Bu soruyu daha önce hiç yemiştim.,∅,hiç,yemiştim,npi_licensing
