good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Demek ki arkadaşımın arabasını sattığını öğrendim.,Demek ki arkadaşımın sattığını arabasını öğrendim.,arabasını sattığını,sattığını arabasını,-,scrambling  
Patronu arayıp bacağını kırdığını ihbar verdi.,Patronu arayıp kırdığını bacağını ihbar verdi.,bacağını kırdığını,kırdığını bacağını,-,scrambling
Anlaşılan arkadaşımın arabasını sattığını öğrendim.,Anlaşılan arkadaşımın sattığını arabasını öğrendim.,arabasını sattığını,sattığını arabasını,-,scrambling  
Çocuklar bayramın gelmesini heyecanla bekliyor.,Çocuklar gelmesini bayramın heyecanla bekliyor.,bayramın gelmesini,gelmesini bayramın,-,scrambling
Şu halde müdürün yeni çalışma saatlerini onayladığını duyurdu.,Şu halde müdürün onayladığını yeni çalışma saatlerini duyurdu.,yeni çalışma saatlerini onayladığını,onayladığını yeni çalışma saatlerini,-,scrambling
Garsonun siparişi yanlış getirdiğini bozuk ettik.,Garsonun yanlış getirdiğini siparişi bozuk ettik.,siparişi yanlış getirdiğini,yanlış getirdiğini siparişi,-,scrambling
Çalışan antika vazoyu kırdığını itiraf etti.,Çalışan kırdığını antika vazoyu itiraf etti.,antika vazoyu kırdığını,kırdığını antika vazoyu,-,scrambling
Anlaşılıyor ki dedemin tapu evraklarını bulduğunu öğrendik.,Anlaşılıyor ki dedemin bulduğunu tapu evraklarını öğrendik.,tapu evraklarını bulduğunu,bulduğunu tapu evraklarını,-,scrambling
Annemin yemeği yaktığını geç benzerlik ettim.,Annemin yaktığını yemeği geç benzerlik ettim.,yemeği yaktığını,yaktığını yemeği,-,scrambling  
Anlaşılan müşterinin faturayı ödediğini söylediler.,Anlaşılan müşterinin ödediğini faturayı söylediler.,faturayı ödediğini,ödediğini faturayı,-,scrambling  
