good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Bu kitabı kendim hiç kimseden yardım almadan yazdım.,Bu kitabı kendi hiç kimseden yardım almadan yazdım.,kendim,kendi,yazdım,anaphor_agreement
Yanlışlıkla kendimi aradım.,Yanlışlıkla kendini aradım.,kendimi,kendini,aradım,anaphor_agreement
Kendine bir araba almasını söyledim.,Kendime bir araba almasını söyledim.,Kendine,Kendime,almasını,anaphor_agreement
Okula kendi otobüsle gidiyor.,Okula kendim otobüsle gidiyor.,kendi,kendim,gidiyor,anaphor_agreement
Saçlarını evde kendim kutu boyayla boyadım.,Saçlarını evde kendi kutu boyayla boyadım.,kendim,kendi,boyadım,anaphor_agreement
Ne olursa olsun ben yeterliyim diye düşünüp kendini her koşulda beğenir.,Ne olursa olsun ben yeterliyim diye düşünüp kendimi her koşulda beğenir.,kendini,kendimi,beğenir,anaphor_agreement
Vereceğimiz ödülü öğrenince kendilerini öne attılar.,Vereceğimiz ödülü öğrenince kendimizi öne attılar.,kendilerini,kendimizi,attılar,anaphor_agreement
Geçen günkü konuşmamızdan sonra kendinizi yok yere gaza getirmişsiniz.,Geçen günkü konuşmamızdan sonra kendimizi yok yere gaza getirmişsiniz.,kendinizi,kendimizi,getirmişsiniz,anaphor_agreement
Fırında satılan her şeyi kendimiz evde yapıyoruz.,Fırında satılan her şeyi kendiniz evde yapıyoruz.,kendimiz,kendiniz,yapıyoruz,anaphor_agreement
Böyle devam ederse yakında kendimizi çok daha iyi yerlerde göreceğiz.,Böyle devam ederse yakında kendinizi çok daha iyi yerlerde göreceğiz.,kendimizi,kendinizi,göreceğiz,anaphor_agreement
Okuduğum bölümü kendim kimseden rehberlik almadan yazdım.,Okuduğum bölümü kendi kimseden rehberlik almadan yazdım.,kendim,kendi,yazdım,anaphor_agreement
Bu sınavı kendim herhangi bir eğitim almadan geçtim.,Bu sınavı kendi herhangi bir eğitim almadan geçtim.,kendim,kendi,geçtim,anaphor_agreement
Bu mesajı kendim kesinlikle hiçbir psikolojik baskı altında kalmadan yazdım.,Bu mesajı kendi kesinlikle hiçbir psikolojik baskı altında kalmadan yazdım.,kendim,kendi,yazdım,anaphor_agreement
Bu gece için kendim sponsor desteği olmadan hazırlandım.,Bu gece için kendi sponsor desteği olmadan hazırlandım.,kendim,kendi,hazırlandım,anaphor_agreement
İlk adımı kendim aslında karşıdan hiçbir beklentim olmadan attım.,İlk adımı kendi aslında karşıdan hiçbir beklentim olmadan attım.,kendim,kendi,attım,anaphor_agreement
İlk kitabımı kendim her türlü maddi sıkıntıyı göze alarak bastırdım.,İlk kitabımı kendi her türlü maddi sıkıntıyı göze alarak bastırdım.,kendim,kendi,bastırdım,anaphor_agreement
Bu şarkıyı kendim profesyonel bir yapımcıyla çalışmadan besteledim.,Bu şarkıyı kendi profesyonel bir yapımcıyla çalışmadan besteledim.,kendim,kendi,besteledim,anaphor_agreement
Arabayı kendim servisi aramadan tamir ettim.,Arabayı kendi servisi aramadan tamir ettim.,kendim,kendi,ettim,anaphor_agreement
Taşınırken evin duvarlarını kendim usta çağırmadan boyadım.,Taşınırken evin duvarlarını kendi usta çağırmadan boyadım.,kendim,kendi,boyadım,anaphor_agreement
Projeye kendin bizim fikrimizi hiç almadan karar verdin.,Projeye kendimiz bizim fikrimizi hiç almadan karar verdin.,kendin,kendimiz,verdin,anaphor_agreement
İngiltere vizesine kendi hiçbir ajansa danışmadan başvurmuş.,İngiltere vizesine kendin hiçbir ajansa danışmadan başvurmuş.,kendi,kendin,başvurmuş,anaphor_agreement
Kardeşin ödevini kendi kimseden yardım almadan yaptı.,Kardeşin ödevini kendin kimseden yardım almadan yaptı.,kendi,kendin,yaptı,anaphor_agreement
Festival programını kendimiz dışarıdan bir yönlendirme olmadan belirledik.,Festival programını kendiniz dışarıdan bir yönlendirme olmadan belirledik.,kendimiz,kendiniz,belirledik,anaphor_agreement
Şirketi kendi hiçbir yatırımcı olmadan kurdu.,Şirketi kendin hiçbir yatırımcı olmadan kurdu.,kendi,kendin,kurdu,anaphor_agreement
Mezuniyet balosunu kendimiz sponsor almadan organize ettik.,Mezuniyet balosunu kendiniz sponsor almadan organize ettik.,kendimiz,kendiniz,ettik,anaphor_agreement
Yaşadığımız sorunu kendim kimseyi incitmeden izah ettim.,Yaşadığımız sorunu kendin kimseyi incitmeden izah ettim.,kendim,kendin,ettim,anaphor_agreement
Talimatı kendileri kimseden izin almadan vermişler.,Talimatı kendimiz kimseden izin almadan vermişler.,kendileri,kendimiz,vermişler,anaphor_agreement
İleriye hazırlık için işleri kendim görüyorum.,İleriye hazırlık için işleri kendin görüyorum.,kendim,kendin,görüyorum,anaphor_agreement
Fransızcayı kendim herhangi bir kursa gitmeden öğrendim.,Fransızcayı kendi herhangi bir kursa gitmeden öğrendim.,kendim,kendi,öğrendim,anaphor_agreement
Düğün fotoğraflarını kendimiz fotoğrafçı tutmadan çektik.,Düğün fotoğraflarını kendiniz fotoğrafçı tutmadan çektik.,kendimiz,kendiniz,çektik,anaphor_agreement
Bu tabloyu kendim resim dersi almadan yaptım.,Bu tabloyu kendi resim dersi almadan yaptım.,kendim,kendi,yaptım,anaphor_agreement
Tatil planını kendimiz tur şirketine bağlı kalmadan yaptık.,Tatil planını kendiniz tur şirketine bağlı kalmadan yaptık.,kendimiz,kendiniz,yaptık,anaphor_agreement
Ders notlarımı kendim başkasından not almadan çıkardım.,Ders notlarımı kendi başkasından not almadan çıkardım.,kendim,kendi,çıkardım,anaphor_agreement
Atkıyı mağazadan almak yerine kendi evde ördü.,Atkıyı mağazadan almak yerine kendim evde ördü.,kendi,kendim,ördü,anaphor_agreement
Gelen mobilyaları kendiniz kılavuza bakarak kurabilirsiniz.,Gelen mobilyaları kendimiz kılavuza bakarak kurabilirsiniz.,kendiniz,kendimiz,kurabilirsiniz,anaphor_agreement
Bisikleti ekstra masraf yapmadan kendin tamir edebilirsin.,Bisikleti ekstra masraf yapmadan kendi tamir edebilirsin.,kendin,kendi,edebilirsin,anaphor_agreement
Çalışma programımı kendim hocaya sormadan hazırladım.,Çalışma programımı kendi hocaya sormadan hazırladım.,kendim,kendi,hazırladım,anaphor_agreement
İş başvurularını kendim araya referans koymadan yaptım.,İş başvurularını kendi araya referans koymadan yaptım.,kendim,kendi,yaptım,anaphor_agreement
Evimizi kendimiz iç mimar tutmadan döşedik.,Evimizi kendiniz iç mimar tutmadan döşedik.,kendimiz,kendiniz,döşedik,anaphor_agreement
Eğitimini kendi maddi destek almadan tamamladı.,Eğitimini kendin maddi destek almadan tamamladı.,kendi,kendin,tamamladı,anaphor_agreement
Lizbon'u kendimiz tur rehberi olmadan gezdik.,Lizbon'u kendiniz tur rehberi olmadan gezdik.,kendimiz,kendiniz,gezdik,anaphor_agreement
Öğrenciler konferansın web sitesini kendileri hazırlamış.,Öğrenciler konferansın web sitesini kendiniz hazırlamış.,kendileri,kendiniz,hazırlamış,anaphor_agreement
Ehliyet sınavını kendim kursa gitmeden geçtim.,Ehliyet sınavını kendi kursa gitmeden geçtim.,kendim,kendi,geçtim,anaphor_agreement
Son kararı kendi hiç kimseden fikir almadan verdi.,Son kararı kendim hiç kimseden fikir almadan verdi.,kendi,kendim,verdi,anaphor_agreement
Senaryoyu vermeden önce kendim yapımcıyla görüştüm.,Senaryoyu vermeden önce kendi yapımcıyla görüştüm.,kendim,kendi,görüştüm,anaphor_agreement
Mutfak dolaplarını kendim usta çağırmadan monte ettim.,Mutfak dolaplarını kendi usta çağırmadan monte ettim.,kendim,kendi,ettim,anaphor_agreement
Grup projesinin konusuna kendin kimseye danışmadan karar verdin.,Grup projesinin konusuna kendi kimseye danışmadan karar verdin.,kendin,kendi,verdin,anaphor_agreement
Oyunu geliştirmeye kendi daha hiç yatırımcı yokken başladı.,Oyunu geliştirmeye kendin daha hiç yatırımcı yokken başladı.,kendi,kendin,başladı,anaphor_agreement
Doğum günü partisini kendimiz bir organizasyon şirketi olmadan planladık.,Doğum günü partisini kendiniz bir organizasyon şirketi olmadan planladık.,kendimiz,kendiniz,planladık,anaphor_agreement
Yanlış anlaşılmayı kendim herkesle tek tek konuşarak çözdüm.,Yanlış anlaşılmayı kendin herkesle tek tek konuşarak çözdüm.,kendim,kendin,çözdüm,anaphor_agreement
Kapanış konuşmasını kendileri moderatörden izin almadan yapmışlar.,Kapanış konuşmasını kendimiz moderatörden izin almadan yapmışlar.,kendileri,kendimiz,yapmışlar,anaphor_agreement
Amirimiz nöbet listesini kendi kimseye sormadan hazırlıyor.,Amirimiz nöbet listesini kendim kimseye sormadan hazırlıyor.,kendi,kendim,hazırlıyor,anaphor_agreement
İspanyolcayı kendim internette pratik yaparak öğrendim.,İspanyolcayı kendi internette pratik yaparak öğrendim.,kendim,kendi,öğrendim,anaphor_agreement
