good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Akşam kızlarla partiye gittik ve çok eğlendik.,Akşam kızlarla partiye git ve çok eğlendik.,gittik,git,eğlendik,suspended_affixation
Ruhsatsız olduğu tespit edilen işletme mühürlendi ve kapatıldı.,Ruhsatsız olduğu tespit edilen işletme mühürlen ve kapatıldı.,mühürlendi,mühürlen,kapatıldı,suspended_affixation
Öznur ablasının nişan töreni için giyindi ve süslendi.,Öznur ablasının nişan töreni için giyin ve süslendi.,giyindi,giyin,süslendi,suspended_affixation
Dün pazara uğradım ve bir sürü sebze aldım.,Dün pazara uğra ve bir sürü sebze aldım.,uğradım,uğra,aldım,suspended_affixation
Sabah ufaklığı bakkala gönderdim ve taze ekmek aldırdım.,Sabah ufaklığı bakkala gönder ve taze ekmek aldırdım.,gönderdim,gönder,aldırdım,suspended_affixation
Festivale yüksek katılım sağlandı ve yoğun ilgi gösterildi.,Festivale yüksek katılım sağlan ve yoğun ilgi gösterildi.,sağlandı,sağlan,gösterildi,suspended_affixation
Yeni aldığım elbiseyi denedim ve çok beğendim.,Yeni aldığım elbiseyi dene ve çok beğendim.,denedim,dene,beğendim,suspended_affixation
Hafta sonu pikniğe gittik ve mangal yaktık.,Hafta sonu pikniğe git ve mangal yaktık.,gittik,git,yaktık,suspended_affixation
Kardeşimle kavga ettik ve sonra barıştık.,Kardeşimle kavga et ve sonra barıştık.,ettik,et,barıştık,suspended_affixation
Yarışmada birinci oldu ve ödül aldı.,Yarışmada birinci ol ve ödül aldı.,oldu,ol,aldı,suspended_affixation
Annemle pazara çıktık ve meyve aldık.,Annemle pazara çık ve meyve aldık.,çıktık,çık,aldık,suspended_affixation
Arkadaşlarımla buluştuk ve sinemaya gittik.,Arkadaşlarımla buluş ve sinemaya gittik.,buluştuk,buluş,gittik,suspended_affixation
Ödevlerimi bitirdim ve oyun oynamaya başladım.,Ödevlerimi bitir ve oyun oynamaya başladım.,bitirdim,bitir,başladım,suspended_affixation
Kedimi veterinere götürdüm ve aşı yaptırdım.,Kedimi veterinere götür ve aşı yaptırdım.,götürdüm,götür,yaptırdım,suspended_affixation
Yemek yaptılar ve misafirleri ağırladılar.,Yemek yap ve misafirleri ağırladılar.,yaptılar,yap,ağırladılar,suspended_affixation
Konsere bilet aldım ve arkadaşımla gittim.,Konsere bilet al ve arkadaşımla gittim.,aldım,al,gittim,suspended_affixation
Sabah erken kalktım ve koşuya çıktım.,Sabah erken kalk ve koşuya çıktım.,kalktım,kalk,çıktım,suspended_affixation
Projeyi tamamladın ve sunumu hazırladın.,Projeyi tamamla ve sunumu hazırladın.,tamamladın,tamamla,hazırladın,suspended_affixation
Telefonumu şarj ettim ve mesajları kontrol ettim.,Telefonumu şarj et ve mesajları kontrol ettim.,ettim,et,ettim,suspended_affixation
Maçı izledik ve sonucu tartıştık.,Maçı izle ve sonucu tartıştık.,izledik,izle,tartıştık,suspended_affixation
Kütüphaneye gitti ve kitap aldı.,Kütüphaneye git ve kitap aldı.,gitti,git,aldı,suspended_affixation
Kahvaltı hazırladı ve ailesiyle zaman geçirdi.,Kahvaltı hazırla ve ailesiyle zaman geçirdi.,hazırladı,hazırla,geçirdi,suspended_affixation
Almanca çalıştım ve arkadaşlarımla pratik yaptım.,Almanca çalış ve arkadaşlarımla pratik yaptım.,çalıştım,çalış,yaptım,suspended_affixation
Arabayı yıkadım ve içini temizledim.,Arabayı yıka ve içini temizledim.,yıkadım,yıka,temizledim,suspended_affixation
Bitkileri suladım ve dallarını budadım.,Bitkileri sula ve dallarını budadım.,suladım,sula,budadım,suspended_affixation
Raporu hazırladım ve müdüre sundum.,Raporu hazırla ve müdüre sundum.,hazırladım,hazırla,sundum,suspended_affixation
Spor yaptım ve duş aldım.,Spor yap ve duş aldım.,yaptım,yap,aldım,suspended_affixation
Şarkı söyledim ve dans ettim.,Şarkı söyle ve dans ettim.,söyledim,söyle,ettim,suspended_affixation
Yorgun olduğum için yattım ve erkenden uyudum.,Yorgun olduğum için yat ve erkenden uyudum.,yattım,yat,uyudum,suspended_affixation
Kazağı ördü ve sevgilisine hediye etti.,Kazağı ör ve sevgilisine hediye etti.,ördü,ör,etti,suspended_affixation
Bisiklete bindik ve parkta tur attık.,Bisiklete bin ve parkta tur attık.,bindik,bin,attık,suspended_affixation
Yemeği ısıttım ve yedim.,Yemeği ısıt ve yedim.,ısıttım,ısıt,yedim,suspended_affixation
Kedimi sevdim ve mamasını verdim.,Kedimi sev ve mamasını verdim.,sevdim,sev,verdim,suspended_affixation
Kapıyı açtım ve misafirleri karşıladım.,Kapıyı aç ve misafirleri karşıladım.,açtım,aç,karşıladım,suspended_affixation
Yarışa katıldı ve iyi bir derece aldı.,Yarışa katıl ve iyi bir derece aldı.,katıldı,katıl,aldı,suspended_affixation
