good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Kardeşinin doğruyu söylediğine canı gönülden inanıyor.,Kardeşinin doğruyu söylemesine canı gönülden inanıyor.,söylediğine,söylemesine,inanıyor,nominalization
Otelde çarşafların değiştirildiğine bile emin olamadık.,Otelde çarşafların değiştirilmesine bile emin olamadık.,değiştirildiğine,değiştirilmesine,emin olamadık,nominalization
Bu kadar kaba biri olduğunu hiç düşünmemiştim.,Bu kadar kaba biri olmasını hiç düşünmemiştim.,olduğunu,olmasını,düşünmemiştim,nominalization
Kapıya gelen işportacının kendisini dolandırıldığını çok geç anladı.,Kapıya gelen işportacının kendisini dolandırmasını çok geç anladı.,dolandırıldığını,dolandırmasını,anladı,nominalization
Kendisinin de bu yollardan geçtiğini bize her fırsatta hatırlatır.,Kendisinin de bu yollardan geçmesini bize her fırsatta hatırlatır.,geçtiğini,geçmesini,hatırlatır,nominalization
Annesiyle ne kadar gurur duyduğundan hep bahsederdi.,Annesiyle ne kadar gurur duymasından hep bahsederdi.,gurur duyduğundan,gurur duymasından,bahsederdi,nominalization
Yaptığının doğru olmadığını içten içe biliyor.,Yaptığının doğru olmasını içten içe biliyor.,olmadığını,olmasını,biliyor,nominalization
Dizinin aslında komedi türünde olduğunu bile rahatlıkla iddia edebiliriz.,Dizinin aslında komedi türünde olmasını bile rahatlıkla iddia edebiliriz.,olduğunu,olmasını,iddia edebiliriz,nominalization
İşten kendi isteğiyle ayrıldığını üstüne basarak belirtti.,İşten kendi isteğiyle ayrılmasını üstüne basarak belirtti.,ayrıldığını,ayrılmasını,belirtti,nominalization
Cüzdanını takside unuttuğunu iş işten geçince fark etti.,Cüzdanını takside unutmasını iş işten geçince fark etti.,unuttuğunu,unutmasını,fark etti,nominalization
Son yaşananlar hatalarımızdan ders çıkarmadığımızı bize bir kez daha gösterdi.,Son yaşananlar hatalarımızdan ders çıkarmamızı bize bir kez daha gösterdi.,ders çıkarmadığımızı,ders çıkarmamızı,gösterdi,nominalization
Bu seçimin Türkiye için tarihi önem taşıdığını herkes gördü.,Bu seçimin Türkiye için tarihi önem taşımasını herkes gördü.,taşıdığını,taşımasını,gördü,nominalization
Serviste yavaş kaldığını o da kabul ediyor.,Serviste yavaş kalmasını o da kabul ediyor.,kaldığını,kalmasını,kabul ediyor,nominalization
Geçen haftaki ilana başvurmadığıma fena pişman oldum.,Geçen haftaki ilana başvurmamama fena pişman oldum.,başvurmadığıma,başvurmamama,pişman oldum,nominalization
Bizi yemeğe davet etmek istediğini bayadır söylüyordu.,Bizi yemeğe davet etmek istemesini bayadır söylüyordu.,istediğini,istemesini,söylüyordu,nominalization
Bu zorlu süreçte yanımızda olduklarını tekrar ifade ettiler.,Bu zorlu süreçte yanımızda olmalarını tekrar ifade ettiler.,olduklarını,olmalarını,ifade ettiler,nominalization
Kuzeninin bizimle birlikte Ankara'ya gelmesini çok istiyor.,Kuzeninin bizimle birlikte Ankara'ya geldiğini çok istiyor.,gelmesini,geldiğini,istiyor,nominalization
Polisler çevredekilerin olay yerine yaklaşmasını bile engellemiş.,Polisler çevredekilerin olay yerine yaklaştığını bile engellemiş.,yaklaşmasını,yaklaştığını,engellemiş,nominalization
Hoca ödevi bir gün geç teslim etmeme zor da olsa izin verdi.,Hoca ödevi bir gün geç teslim ettiğime zor da olsa izin verdi.,teslim etmeme,teslim ettiğime,izin verdi,nominalization
İstediğimiz şeyler için var gücümüzle çalışmamızı bize her fırsatta öğütlerdi.,İstediğimiz şeyler için var gücümüzle çalıştığımızı bize her fırsatta öğütlerdi.,çalışmamızı,çalıştığımızı,öğütlerdi,nominalization
Sizin de açılışa katılmanızı doğrusu çok arzu ederiz.,Sizin de açılışa katıldığınızı doğrusu çok arzu ederiz.,katılmanızı,katıldığınızı,arzu ederiz,nominalization
Avukat diğer kamera kayıtlarının da izlenilmesini ısrarla talep etti.,Avukat diğer kamera kayıtlarının da izlenildiğini ısrarla talep etti.,izlenilmesini,izlenildiğini,talep etti,nominalization
Çocuklar bayramın gelmesini heyecanla bekliyor.,Çocuklar bayramın geldiğini heyecanla bekliyor.,gelmesini,geldiğini,bekliyor,nominalization
