good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Melike matematik dersinde problem çözmüş.;Melike matematik dersinde her problem çözmüş.;∅;her;problem;quantifiers
Bizim ufaklık artık bisiklet sürebiliyor.;Bizim ufaklık artık çoğu bisiklet sürebiliyor.;∅;çoğu;bisiklet;quantifiers
Taşınırken eşya sattılar.;Taşınırken çoğu eşya sattılar.;∅;çoğu;eşya;quantifiers
Kardeşinin düğünü için elbise denedi.;Kardeşinin düğünü için her elbise denedi.;∅;her;elbise;quantifiers
Zaten Fransa'da peynir tatmıştır.;Zaten Fransa'da çoğu peynir tatmıştır.;∅;çoğu;peynir;quantifiers
Millet sıkılınca çalma listesinde şarkı atladı.;Millet sıkılınca çalma listesinde çoğu şarkı atladı.;∅;çoğu;şarkı;quantifiers
Karnın acıkınca ekmek yersin.;Karnın acıkınca her ekmek yersin.;∅;her;ekmek;quantifiers
Boş zamanım olursa film izlerim.;Boş zamanım olursa her film izlerim.;∅;her;film;quantifiers
Dikkati dağılmadığı sürece çalışırken müzik dinler.;Dikkati dağılmadığı sürece çalışırken çoğu müzik dinler.;∅;çoğu;müzik;quantifiers
Amcasının müzik dükkanında gitar çalmış.;Amcasının müzik dükkanında her gitar çalmış.;∅;her;gitar;quantifiers
Çocuklar parkta oyun oynadı.;Çocuklar parkta her oyun oynadı.;∅;her;oyun;quantifiers  
Yazın deniz kenarında kitap okurum.;Yazın deniz kenarında çoğu kitap okurum.;∅;çoğu;kitap;quantifiers  
Sabah koşusunda kuş gördüm.;Sabah koşusunda çoğu kuş gördüm.;∅;çoğu;kuş;quantifiers  
Yemekten sonra tatlı yedik.;Yemekten sonra çoğu tatlı yedik.;∅;çoğu;tatlı;quantifiers  
Hafta sonu bahçeye çiçek diktik.;Hafta sonu bahçeye her çiçek diktik.;∅;her;çiçek;quantifiers  
Kedim açıkta bulursa süt içer.;Kedim açıkta bulursa her süt içer.;∅;her;süt;quantifiers  
Öğrenciler laboratuvarda deney yaptı.;Öğrenciler laboratuvarda çoğu deney yaptı.;∅;çoğu;deney;quantifiers  
Yolculukta radyo dinledik.;Yolculukta her radyo dinledik.;∅;her;radyo;quantifiers  
Sabah ayılmak için kahve içeriz.;Sabah ayılmak için her kahve içeriz.;∅;her;kahve;quantifiers  
Müzede tarihi eser inceledik.;Müzede çoğu tarihi eser inceledik.;∅;çoğu;eser;quantifiers  
Annem pazardan meyve aldı.;Annem pazardan her meyve aldı.;∅;her;meyve;quantifiers  
Yarışmada atletler madalya kazandı.;Yarışmada atletler her madalya kazandı.;∅;her;madalya;quantifiers  
Kütüphanede roman okudum.;Kütüphanede çoğu roman okudum.;∅;çoğu;roman;quantifiers  
Hafta sonu gölde kayık kullandık.;Hafta sonu gölde her kayık kullandık.;∅;her;kayık;quantifiers  
Konserde katılımcılar şarkı söyledi.;Konserde katılımcılar çoğu şarkı söyledi.;∅;çoğu;şarkı;quantifiers  
Köyde sabahları ekmek pişirirler.;Köyde sabahları her ekmek pişirirler.;∅;her;ekmek;quantifiers  
Sergide ressam tablo sergiledi.;Sergide ressam çoğu tablo sergiledi.;∅;çoğu;tablo;quantifiers  
Maçta taraftarlar tezahürat yaptı.;Maçta taraftarlar her tezahürat yaptı.;∅;her;tezahürat;quantifiers  
Kamp ateşinde şarkı söyledik.;Kamp ateşinde her şarkı söyledik.;∅;her;şarkı;quantifiers  
Konserde müzisyen enstrüman çaldı.;Konserde müzisyen çoğu enstrüman çaldı.;∅;çoğu;enstrüman;quantifiers  
Ders arasında öğrenciler sınıf gezdi.;Ders arasında öğrenciler her sınıf gezdi.;∅;her;sınıf;quantifiers  
Alışveriş merkezinde mağaza gezdik.;Alışveriş merkezinde çoğu mağaza gezdik.;∅;çoğu;mağaza;quantifiers  
Sabah kahvaltısında zeytin yedik.;Sabah kahvaltısında çoğu zeytin yedik.;∅;çoğu;zeytin;quantifiers  
Barınağın önünden geçerken köpek gördük.;Barınağın önünden geçerken çoğu köpek gördük.;∅;çoğu;köpek;quantifiers  
Sınıf gezisinde müze rehberi bilgi verdi.;Sınıf gezisinde müze rehberi çoğu bilgi verdi.;∅;çoğu;bilgi;quantifiers  
Akşam yürüyüşünde yıldız gördük.;Akşam yürüyüşünde çoğu yıldız gördük.;∅;çoğu;yıldız;quantifiers  
Gösteride sihirbaz numara yaptı.;Gösteride sihirbaz her numara yaptı.;∅;her;numara;quantifiers  
Yol kenarından çiçek topladık.;Yol kenarından çoğu çiçek topladık.;∅;çoğu;çiçek;quantifiers  
Kışın sobada yemek pişiririz.;Kışın sobada her yemek pişiririz.;∅;her;yemek;quantifiers  
Kamp yaparken çadır kurduk.;Kamp yaparken çoğu çadır kurduk.;∅;çoğu;çadır;quantifiers  
Sınıfta öğretmen hikaye anlattı.;Sınıfta öğretmen çoğu hikaye anlattı.;∅;çoğu;hikaye;quantifiers  
Doğa gezisinde sincap gördük.;Doğa gezisinde her sincap gördük.;∅;her;sincap;quantifiers  
Konser sonrası poster aldık.;Konser sonrası her poster aldık.;∅;her;poster;quantifiers
Sabah erkenden kalkıp gazete okurum.;Sabah erkenden kalkıp her gazete okurum.;∅;her;gazete;quantifiers  
Marketten yumurta aldım.;Marketten çoğu yumurta aldım.;∅;çoğu;yumurta;quantifiers  
Yolda tabela gördük.;Yolda çoğu tabela gördük.;∅;çoğu;tabela;quantifiers  
Mutfakta bulaşık yıkadım.;Mutfakta her bulaşık yıkadım.;∅;her;bulaşık;quantifiers  
Bahçede çit boyadık.;Bahçede çoğu çit boyadık.;∅;çoğu;çit;quantifiers  
Otobüste bilet kontrol ettiler.;Otobüste her bilet kontrol ettiler.;∅;her;bilet;quantifiers  
Terziden kumaş aldık.;Terziden her kumaş aldık.;∅;her;kumaş;quantifiers  
Hastanede tahlil yaptırdım.;Hastanede çoğu tahlil yaptırdım.;∅;çoğu;tahlil;quantifiers  
Kafede beklerken dergi okudum.;Kafede beklerken her dergi okudum.;∅;her;dergi;quantifiers  
Sahilde şezlong kiraladık.;Sahilde her şezlong kiraladık.;∅;her;şezlong;quantifiers  
Köyde saman taşıdılar.;Köyde çoğu saman taşıdılar.;∅;çoğu;saman;quantifiers  
Meydanda heykel gördük.;Meydanda her heykel gördük.;∅;her;heykel;quantifiers  
Tarlada mahsul topladılar.;Tarlada çoğu mahsul topladılar.;∅;çoğu;mahsul;quantifiers  
Mağazada ayakkabı denedim.;Mağazada çoğu ayakkabı denedim.;∅;çoğu;ayakkabı;quantifiers  
Restoranda menü karıştırdık.;Restoranda her menü karıştırdık.;∅;her;menü;quantifiers  
Plajda şemsiye açtık.;Plajda her şemsiye açtık.;∅;her;şemsiye;quantifiers  
İnşaatta tuğla taşıdılar.;İnşaatta çoğu tuğla taşıdılar.;∅;çoğu;tuğla;quantifiers  
Şantiyede vinç gördük.;Şantiyede çoğu vinç gördük.;∅;çoğu;vinç;quantifiers
Kırtasiyede defter baktık.;Kırtasiyede her defter baktık.;∅;her;defter;quantifiers
Gölde sandal kiraladık.;Gölde çoğu sandal kiraladık.;∅;çoğu;sandal;quantifiers
Berberde yanlışlıkla ayna kırdı.;Berberde yanlışlıkla çoğu ayna kırdı.;∅;çoğu;ayna;quantifiers
Manavda sebze tarttık.;Manavda çoğu sebze tarttık.;∅;çoğu;sebze;quantifiers
Çiftlikte yumurta topladık.;Çiftlikte her yumurta topladık.;∅;her;yumurta;quantifiers
Kütüphanete raf yerleştirdiler.;Kütüphanete çoğu raf yerleştirdiler.;∅;çoğu;raf;quantifiers
Sergide tablo beğendik.;Sergide her tablo beğendik.;∅;her;tablo;quantifiers
Bahçıvan çiçek suladı.;Bahçıvan çoğu çiçek suladı.;∅;çoğu;çiçek;quantifiers
Sahilde deniz kabuğu topladık.;Sahilde her deniz kabuğu topladık.;∅;her;deniz kabuğu;quantifiers
Mağazada vitrin düzenlediler.;Mağazada her vitrin düzenlediler.;∅;her;vitrin;quantifiers
Elimizi silerken peçete kullandık.;Elimizi silerken çoğu peçete kullandık.;∅;çoğu;peçete;quantifiers
Yürüyüşte döviz taşıdık.;Yürüyüşte her döviz taşıdık.;∅;her;döviz;quantifiers
Atölyede mobilya yaptık.;Atölyede çoğu mobilya yaptık.;∅;çoğu;mobilya;quantifiers
Gümrükte bavul açtılar.;Gümrükte her bavul açtılar.;∅;her;bavul;quantifiers
Sınıfta tebeşir kullandık.;Sınıfta her tebeşir kullandık.;∅;her;tebeşir;quantifiers
Bahçeye salıncak kurduk.;Bahçeye her salıncak kurduk.;∅;her;salıncak;quantifiers
Kafede şekerlik boşaldı.;Kafede çoğu şekerlik boşaldı.;∅;çoğu;şekerlik;quantifiers
Yoldan geçenlere broşür dağıttılar.;Yoldan geçenlere çoğu broşür dağıttılar.;∅;çoğu;broşür;quantifiers
Markette kasa açtılar.;Markette her kasa açtılar.;∅;her;kasa;quantifiers
Kütüphanede belge inceledim.;Kütüphanede çoğu belge inceledim.;∅;çoğu;belge;quantifiers
Pastanede kurabiye paketledik.;Pastanede çoğu kurabiye paketledik.;∅;çoğu;kurabiye;quantifiers
Mağazada manken değiştirdiler.;Mağazada çoğu manken değiştirdiler.;∅;çoğu;manken;quantifiers
Kütüphanede sözlük aradım.;Kütüphanede her sözlük aradım.;∅;her;sözlük;quantifiers
Konuklar düğünde fotoğraf çekti.;Konuklar düğünde her fotoğraf çekti.;∅;her;fotoğraf;quantifiers
Kütüphanede öğrenci kitap okudu.;Kütüphanede öğrenci her kitap okudu.;∅;her;kitap;quantifiers
Altın günü için annem tatlı yaptı.;Altın günü için annem çoğu tatlı yaptı.;∅;çoğu;tatlı;quantifiers
Sınıfta öğretmen tahta sildi.;Sınıfta öğretmen her tahta sildi.;∅;her;tahta;quantifiers
Bahçede çocuklar çiçek topladı.;Bahçede çocuklar her çiçek topladı.;∅;her;çiçek;quantifiers
Çiftlikte çocuklar yumurta topladı.;Çiftlikte çocuklar her yumurta topladı.;∅;her;yumurta;quantifiers
Tiyatroda oyuncular kostüm giydi.;Tiyatroda oyuncular çoğu kostüm giydi.;∅;çoğu;kostüm;quantifiers
Kütüphanede görevli raf düzeltti.;Kütüphanede görevli her raf düzeltti.;∅;her;raf;quantifiers
Kafede garson tepsi taşıdı.;Kafede garson her tepsi taşıdı.;∅;her;tepsi;quantifiers
Müşteriler mağazada ayakkabı denedi.;Müşteriler mağazada her ayakkabı denedi.;∅;her;ayakkabı;quantifiers
Müşteri vitrinde kıyafet beğendi.;Müşteri vitrinde çoğu kıyafet beğendi.;∅;çoğu;kıyafet;quantifiers
Ünlü eleştirmen restoranda menü inceledi.;Ünlü eleştirmen restoranda her menü inceledi.;∅;her;menü;quantifiers
Ünlü manken defilede elbise giydi.;Ünlü manken defilede çoğu elbise giydi.;∅;çoğu;elbise;quantifiers
Babam mağazada gömlek denedi.;Babam mağazada her gömlek denedi.;∅;her;gömlek;quantifiers
Annem fırsattan istifade çanta baktı.;Annem fırsattan istifade çanta baktı.;∅;her;çanta;quantifiers
Seyirciler konserde şarkı söyledi.;Seyirciler konserde her şarkı söyledi.;∅;her;şarkı;quantifiers
Bir melike matematik dersinde problem çözmüş.;Bir melike matematik dersinde her problem çözmüş.;∅;her;problem;quantifiers
Küçük melike matematik dersinde problem çözmüş.;Küçük melike matematik dersinde her problem çözmüş.;∅;her;problem;quantifiers
Bizim melike matematik dersinde problem çözmüş.;Bizim melike matematik dersinde her problem çözmüş.;∅;her;problem;quantifiers
Bu melike matematik dersinde problem çözmüş.;Bu melike matematik dersinde her problem çözmüş.;∅;her;problem;quantifiers
Bir melike matematik dersinde problem çözmüş.;Bir melike matematik dersinde her problem çözmüş.;∅;her;problem;quantifiers
Ve melike matematik dersinde problem çözmüş.;Ve melike matematik dersinde her problem çözmüş.;∅;her;problem;quantifiers
Genç melike matematik dersinde problem çözmüş.;Genç melike matematik dersinde her problem çözmüş.;∅;her;problem;quantifiers
