good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Katılımcıların geri kabulüm vermesini önemsiyoruz.,Katılımcıların geri kabulüm verdiğini önemsiyoruz.,vermesini,verdiğini,önemsiyoruz,nominalization
Uzmanların bu durumda daha fazla araştırma yapmasını öneriyoruz.,Uzmanların bu durumda daha fazla araştırma yaptığını öneriyoruz.,yapmasını,yaptığını,öneriyoruz,nominalization
Projeye yeni bir boyut kazandırılmasına ekip aileyi çok önem verdi.,Projeye yeni bir boyut kazandırıldığına ekip aileyi çok önem verdi.,kazandırılmasına,kazandırıldığına,önem verdi,nominalization
Çocukların evde oynamasını uzaktan izledik.,Çocukların evde oynadığını uzaktan izledik.,oynamasını,oynadığını,izledik,nominalization
Bizi yemeğe konferans etmek istediğini bayadır söylüyordu.,Bizi yemeğe konferans etmek istemesini bayadır söylüyordu.,istediğini,istemesini,söylüyordu,nominalization
Meyvelerin erken olgunlaşmasına sıcak yağmurlar sebep oldu.,Meyvelerin erken olgunlaştığına sıcak yağmurlar sebep oldu.,olgunlaşmasına,olgunlaştığına,sebep oldu,nominalization
Ürünün borsada büyük ilgi gördüğünü ifade etti.,Ürünün borsada büyük ilgi görmesini ifade etti.,gördüğünü,görmesini,ifade etti,nominalization
Çamura saplanan arabanın çıkarılmasına hep birlikte yardım ettik.,Çamura saplanan arabanın çıkarıldığına hep birlikte yardım ettik.,çıkarılmasına,çıkarıldığına,yardım ettik,nominalization
Ürünün gelecekte büyük ilgi gördüğünü ifade etti.,Ürünün gelecekte büyük ilgi görmesini ifade etti.,gördüğünü,görmesini,ifade etti,nominalization
Öyle görünüyor ki yaptığının doğru olmadığını içten içe biliyor.,Öyle görünüyor ki yaptığının doğru olmasını içten içe biliyor.,olmadığını,olmasını,biliyor,nominalization
Şu halde sizin de açılışa katılmanızı doğrusu çok arzu ederiz.,Şu halde sizin de açılışa katıldığınızı doğrusu çok arzu ederiz.,katılmanızı,katıldığınızı,arzu ederiz,nominalization
Yeni ilkelerin herkesi bağladığını belirtti.,Yeni ilkelerin herkesi bağlamasını belirtti.,bağladığını,bağlamasını,belirtti,nominalization
Misafirlerin yerden memnun ayrıldığını öğrendik.,Misafirlerin yerden memnun ayrılmasını öğrendik.,ayrıldığını,ayrılmasını,öğrendik,nominalization
O halde evini kesinlikle satmadığını zaten biliyorum.,O halde evini kesinlikle satmamasını zaten biliyorum.,satmadığını,satmamasını,biliyorum,nominalization
Yeni sistemin verimli olduğunu iddia etti.,Yeni sistemin verimli olmasını iddia etti.,olduğunu,olmasını,iddia etti,nominalization
Senin bu yargıyı desteklemeni bekliyordum.,Senin bu yargıyı desteklediğini bekliyordum.,desteklemeni,desteklediğini,bekliyordum,nominalization
Havanın birden soğumasına kişi hazırlıklı değildi.,Havanın birden soğuduğuna kişi hazırlıklı değildi.,soğumasına,soğuduğuna,hazırlıklı değildi,nominalization
Bu soruyu enine boyuna değerlendirdiğini sanıyorum.,Bu soruyu enine boyuna değerlendirmesini sanıyorum.,değerlendirdiğini,değerlendirmesini,sanıyorum,nominalization
Teknik ekibin nedenini hemencecik çözmesine hepimiz şaşırdık.,Teknik ekibin nedenini hemencecik çözdüğüne hepimiz şaşırdık.,çözmesine,çözdüğüne,şaşırdık,nominalization
Çocukların burda oynamasını uzaktan izledik.,Çocukların burda oynadığını uzaktan izledik.,oynamasını,oynadığını,izledik,nominalization
Yeni selerin işleyişi nasıl değiştirdiğini henüz kestiremiyoruz.,Yeni selerin işleyişi nasıl değiştirmesini henüz kestiremiyoruz.,değiştirdiğini,değiştirmesini,kestiremiyoruz,nominalization
Öğrencilerin eserlerini zamanında teslim etmesini istiyoruz.,Öğrencilerin eserlerini zamanında teslim ettiğini istiyoruz.,etmesini,ettiğini,istiyoruz,nominalization
Yeni istisnanın uygulanmasını herkes destekledi.,Yeni istisnanın uygulandığını herkes destekledi.,uygulanmasını,uygulandığını,destekledi,nominalization
Bu kadar yoğun çalışmasına rağmen gelirlerini aksatmaması takdir edildi.,Bu kadar yoğun çalışmasına rağmen gelirlerini aksatmadığı takdir edildi.,aksatmaması,aksatmadığı,takdir edildi,nominalization
Yeni cihazın piyasaya sürülmesini heyecanla bekliyoruz.,Yeni cihazın piyasaya sürüldüğünü heyecanla bekliyoruz.,sürülmesini,sürüldüğünü,bekliyoruz,nominalization
Meyvelerin erken olgunlaşmasına sıcak havalar sebep oldu.,Meyvelerin erken olgunlaştığına sıcak havalar sebep oldu.,olgunlaşmasına,olgunlaştığına,sebep oldu,nominalization
Meyvelerin erken olgunlaşmasına sıcak insanlar sebep oldu.,Meyvelerin erken olgunlaştığına sıcak insanlar sebep oldu.,olgunlaşmasına,olgunlaştığına,sebep oldu,nominalization
Komitenin önerilen değişiklikleri onaylamasını bekliyorduk.,Komitenin önerilen değişiklikleri onayladığını bekliyorduk.,onaylamasını,onayladığını,bekliyorduk,nominalization
Ev sahibinin dairenin temiz olduğunu belirtti.,Ev sahibinin dairenin temiz olmasını belirtti.,olduğunu,olmasını,belirtti,nominalization
Ev babanın dairenin temiz olduğunu belirtti.,Ev babanın dairenin temiz olmasını belirtti.,olduğunu,olmasını,belirtti,nominalization
Bu meseleyi enine boyuna değerlendirdiğini sanıyorum.,Bu meseleyi enine boyuna değerlendirmesini sanıyorum.,değerlendirdiğini,değerlendirmesini,sanıyorum,nominalization
Öğrencilerin derse teşrif etmesini bekliyoruz.,Öğrencilerin derse teşrif ettiğini bekliyoruz.,etmesini,ettiğini,bekliyoruz,nominalization
İş hareketinin oldukça başarılı geçtiğini ifade etti.,İş hareketinin oldukça başarılı geçmesini ifade etti.,geçtiğini,geçmesini,ifade etti,nominalization
Bu konuyu tavana boyuna düşündüğünü biliyorum.,Bu konuyu tavana boyuna düşünmesini biliyorum.,düşündüğünü,düşünmesini,biliyorum,nominalization
Görünüşe göre serviste yavaş kaldığını o da kabul ediyor.,Görünüşe göre serviste yavaş kalmasını o da kabul ediyor.,kaldığını,kalmasını,kabul ediyor,nominalization
Kardeşinin yanlıyı söylediğine canı gönülden inanıyor.,Kardeşinin yanlıyı söylemesine canı gönülden inanıyor.,söylediğine,söylemesine,inanıyor,nominalization
Anlaşılan önerinin herkes tarafından desteklendiğini biliyorum.,Anlaşılan önerinin herkes tarafından desteklenmesini biliyorum.,desteklendiğini,desteklenmesini,biliyorum,nominalization
Görünüşe göre doktorun hastalarla daha fazla ilgilenmesini bekliyoruz.,Görünüşe göre doktorun hastalarla daha fazla ilgilendiğini bekliyoruz.,ilgilenmesini,ilgilendiğini,bekliyoruz,nominalization
Moderatörler konuşmacının tekrar söz almasına bir türlü fırsat vermedi.,Moderatörler konuşmacının tekrar söz aldığına bir türlü fırsat vermedi.,söz almasına,söz aldığına,fırsat vermedi,nominalization
Çocuklar bayramın gelmesini umutla bekliyor.,Çocuklar bayramın geldiğini umutla bekliyor.,gelmesini,geldiğini,bekliyor,nominalization
Şu halde bu kadar yoğun çalışmasına rağmen işlerini aksatmaması takdir edildi.,Şu halde bu kadar yoğun çalışmasına rağmen işlerini aksatmadığı takdir edildi.,aksatmaması,aksatmadığı,takdir edildi,nominalization
Misafirlerin etkinliğe katılmasını özellikle rica ettiler.,Misafirlerin etkinliğe katıldığını özellikle rica ettiler.,katılmasını,katıldığını,rica ettiler,nominalization
Şu halde sunumun oldukça başarılı geçtiğini herkes kabul etti.,Şu halde sunumun oldukça başarılı geçmesini herkes kabul etti.,geçtiğini,geçmesini,kabul etti,nominalization
O halde tartışmanın daha fazla uzamasını istemiyoruz.,O halde tartışmanın daha fazla uzadığını istemiyoruz.,uzamasını,uzadığını,istemiyoruz,nominalization
Duygusal manipülasyon kişinin kendi mantık sağlığını sorgulamasına bile yol açabilir.,Duygusal manipülasyon kişinin kendi mantık sağlığını sorguladığına bile yol açabilir.,sorgulamasına,sorguladığına,yol açabilir,nominalization
Geçen haftaki hizmete başvurmadığıma fena pişman oldum.,Geçen haftaki hizmete başvurmamama fena pişman oldum.,başvurmadığıma,başvurmamama,pişman oldum,nominalization
Geçen haftaki sayfaya başvurmadığıma fena pişman oldum.,Geçen haftaki sayfaya başvurmamama fena pişman oldum.,başvurmadığıma,başvurmamama,pişman oldum,nominalization
Yönetimin bütçeyi dikkatlice incelemesini talep ettik.,Yönetimin bütçeyi dikkatlice incelediğini talep ettik.,incelemesini,incelediğini,talep ettik,nominalization
Bu durumu kabullendiğini sanıyorum.,Bu durumu kabullenmesini sanıyorum.,kabullendiğini,kabullenmesini,sanıyorum,nominalization
İş kararının oldukça başarılı geçtiğini ifade etti.,İş kararının oldukça başarılı geçmesini ifade etti.,geçtiğini,geçmesini,ifade etti,nominalization
Anlaşılıyor ki öğrencilerin sınava hazır olduğunu düşünüyoruz.,Anlaşılıyor ki öğrencilerin sınava hazır olmasını düşünüyoruz.,olduğunu,olmasını,düşünüyoruz,nominalization
Öyle görünüyor ki havanın birden soğumasına kimse hazırlıklı değildi.,Öyle görünüyor ki havanın birden soğuduğuna kimse hazırlıklı değildi.,soğumasına,soğuduğuna,hazırlıklı değildi,nominalization
Müşterilerin urlarını zamanında almasını sağlıyoruz.,Müşterilerin urlarını zamanında aldığını sağlıyoruz.,almasını,aldığını,sağlıyoruz,nominalization
Bu konunun yeterince tartışıldığını düşünüyorum.,Bu konunun yeterince tartışılmasını düşünüyorum.,tartışıldığını,tartışılmasını,düşünüyorum,nominalization
Otelde elbiselerin değiştirildiğine bile emin olamadık.,Otelde elbiselerin değiştirilmesine bile emin olamadık.,değiştirildiğine,değiştirilmesine,emin olamadık,nominalization
Anlaşılıyor ki yaptığının doğru olmadığını içten içe biliyor.,Anlaşılıyor ki yaptığının doğru olmasını içten içe biliyor.,olmadığını,olmasını,biliyor,nominalization
Anlaşılan sizin de açılışa katılmanızı doğrusu çok arzu ederiz.,Anlaşılan sizin de açılışa katıldığınızı doğrusu çok arzu ederiz.,katılmanızı,katıldığınızı,arzu ederiz,nominalization
Şirketin çalışanlara ek ödeme yapmasını talep ettik.,Şirketin çalışanlara ek ödeme yaptığını talep ettik.,yapmasını,yaptığını,talep ettik,nominalization
Yeni tedavinin verimli olduğunu iddia etti.,Yeni tedavinin verimli olmasını iddia etti.,olduğunu,olmasını,iddia etti,nominalization
Belli ki kardeşinin bu kadar sorumsuz davranmasına epey kızdı.,Belli ki kardeşinin bu kadar sorumsuz davrandığına epey kızdı.,davranmasına,davrandığına,kızdı,nominalization
Yani kitapları zamanında teslim ettiğini iddia etti.,Yani kitapları zamanında teslim etmesini iddia etti.,ettiğini,etmesini,iddia etti,nominalization
Müdürün herkesin fikrini almasına çalışanlar çok şaşırdı.,Müdürün herkesin fikrini aldığına çalışanlar çok şaşırdı.,almasına,aldığına,şaşırdı,nominalization
Öğrencilerin derse protesto etmesini bekliyoruz.,Öğrencilerin derse protesto ettiğini bekliyoruz.,etmesini,ettiğini,bekliyoruz,nominalization
O halde önerinin herkes tarafından desteklendiğini biliyorum.,O halde önerinin herkes tarafından desteklenmesini biliyorum.,desteklendiğini,desteklenmesini,biliyorum,nominalization
Toplantının geç evlere kadar sürmesine katılımcılar itiraz etti.,Toplantının geç evlere kadar sürdüğüne katılımcılar itiraz etti.,sürmesine,sürdüğüne,itiraz etti,nominalization
Demek ki planın kusursuz işlediğini sanıyorduk.,Demek ki planın kusursuz işlemesini sanıyorduk.,işlediğini,işlemesini,sanıyorduk,nominalization
