good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Tatilde annem cüzdanını ve kardeşim telefonunu çaldırdı.;Tatilde annem cüzdanını ve telefonunu kardeşim çaldırdı.;kardeşim telefonunu;telefonunu kardeşim;-;ellipsis
Yılbaşı partisi için mekanı Melisa ve yemekleri Kerem ayarladı.;Yılbaşı partisi için mekanı Melisa ve Kerem yemekleri ayarladı.;yemekleri Kerem;Kerem yemekleri;-;ellipsis
Akşam salatayı abim, tatlıyı da babam yaptı.;Akşam salatayı abim, babam da tatlıyı yaptı.;tatlıyı da babam;babam da tatlıyı;-;ellipsis
Jazz korosunda Berk piyanoyu, Ayşe de gitarı çalıyor.;Jazz korosunda Berk piyanoyu, gitarı da Ayşe çalıyor.;Ayşe de gitarı;gitarı da Ayşe;-;ellipsis
Üniversitedeyken Meltem münazara kulübüne Ömer ise sinema kulübüne gidiyordu.;Üniversitedeyken Meltem münazara kulübüne sinema kulübüne ise Ömer gidiyordu.;Ömer ise sinema kulübüne;sinema kulübüne ise Ömer;-;ellipsis
Köşedeki masada köfteyi küçük hanım balığı ise annesi istedi.;Köşedeki masada köfteyi küçük hanım annesi ise balığı istedi.;balığı ise annesi;annesi ise balığı;-;ellipsis
Kız istemeye giderken halamlar çiçeği amcamlar da çikolatayı almış.;Kız istemeye giderken halamlar çiçeği çikolatayı da amcamlar almış.;amcamlar da çikolatayı;çikolatayı da amcamlar;-;ellipsis
Babalar gününde saati Deniz kravatı da Umut hediye etti.;Babalar gününde saati Deniz Umut da kravatı hediye etti.;kravatı da Umut;Umut da kravatı;-;ellipsis
Sabah bakıcı gelince annesi ofise babası da okula gidiyor.;Sabah bakıcı gelince annesi ofise okula da babası gidiyor.;babası da okula;okula da babası;-;ellipsis
Yeni evde bahçeyi Suat mutfağı da Özgür tasarlamış.;Yeni evde bahçeyi Suat Özgür de mutfağı tasarlamış.;mutfağı da Özgür;Özgür de mutfağı;-;ellipsis
Kampüste kütüphaneyi Elif kafeyi de Burak seviyor.;Kampüste kütüphaneyi Elif Burak da kafeyi seviyor.;kafeyi de Burak;Burak da kafeyi;-;ellipsis
Konserde bateriyi Can kemanı da Zeynep çaldı.;Konserde bateriyi Can Zeynep de kemanı çaldı.;kemanı da Zeynep;Zeynep de kemanı;-;ellipsis
Hafta sonu parkı çocuklar müzeyi de öğretmen ziyaret etti.;Hafta sonu parkı çocuklar öğretmen de müzeyi ziyaret etti.;müzeyi de öğretmen;öğretmen de müzeyi;-;ellipsis
Piknikte sandviçi Ahmet meyveyi de Selin getirdi.;Piknikte sandviçi Ahmet Selin de meyveyi getirdi.;meyveyi de Selin;Selin de meyveyi;-;ellipsis
Düğünde dansı Derya müziği de Emre seçti.;Düğünde dansı Derya Emre de müziği seçti.;müziği de Emre;Emre de müziği;-;ellipsis
Kafede kahveyi Ayla ve tatlıyı Cem sipariş etti.;Kafede kahveyi Ayla ve Cem tatlıyı sipariş etti.;tatlıyı Cem;Cem tatlıyı;-;ellipsis
Sınıfta tahtayı Eda ve bilgisayarı Hasan kullandı.;Sınıfta tahtayı Eda ve Hasan bilgisayarı kullandı.;bilgisayarı Hasan;Hasan bilgisayarı;-;ellipsis
Market alışverişinde sebzeleri Zeynep ve meyveleri Can aldı.;Market alışverişinde sebzeleri Zeynep ve Can meyveleri aldı.;meyveleri Can;Can meyveleri;-;ellipsis
Tatilde ablam kitabı ve kardeşim dergiyi kaybetti.;Tatilde ablam kitabı ve dergiyi kardeşim kaybetti.;kardeşim dergiyi;dergiyi kardeşim;-;ellipsis
Sınıfta sunumu Büşra ve raporu Cem yaptı.;Sınıfta sunumu Büşra ve Cem raporu yaptı.;raporu Cem;Cem raporu;-;ellipsis
Yemekte çorbayı Murat salatayı da Defne hazırladı.;Yemekte çorbayı Murat Defne de salatayı hazırladı.;salatayı da Defne;Defne de salatayı;-;ellipsis
Konferansta açılışı Hakan kapanışı da Aslı yaptı.;Konferansta açılışı Hakan Aslı da kapanışı yaptı.;kapanışı da Aslı;Aslı da kapanışı;-;ellipsis
Toplantıda sunumu Yeliz dökümanı da Levent hazırladı.;Toplantıda sunumu Yeliz Levent de dökümanı hazırladı.;dökümanı da Levent;Levent de dökümanı;-;ellipsis
Törende ödülü Beren ve plaketi Serkan aldı.;Törende ödülü Beren ve Serkan plaketi aldı.;plaketi Serkan;Serkan plaketi;-;ellipsis
Spor salonunda koşu bandını Ahmet ve ağırlıkları Berk kullandı.;Spor salonunda koşu bandını Ahmet ve Berk ağırlıkları kullandı.;ağırlıkları Berk;Berk ağırlıkları;-;ellipsis
