good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Yolda yürürken kendimi eylemlere dalmış buluyorum.,Yolda yürürken beni eylemlere dalmış buluyorum.,kendimi,beni,buluyorum,binding
Ne kadar öfkelensek de kendimizi kontrol etmek zorundayız.,Ne kadar öfkelensek de bizi kontrol etmek zorundayız.,kendimizi,bizi,zorundayız,binding
Çalışmaya başlamadan önce kendimi düzene soktum..,Çalışmaya başlamadan önce beni düzene soktum.,kendimi,beni,soktum,binding
Demek ki böyle durumlarda kendimizi onun yerine koyuyoruz.,Demek ki böyle durumlarda bizi onun yerine koyuyoruz.,kendimizi,bizi,koyuyoruz,binding
Kendimi geliştirmek için her hafta yeni bir şey öğrenmeye çalışıyorum.,Beni geliştirmek için her hafta yeni bir şey öğrenmeye çalışıyorum.,kendimi,beni,çalışıyorum,binding
Restoranda tek başına kahvaltı yerken kendimi rahatsız hissediyorum.,Restoranda tek başına kahvaltı yerken beni rahatsız hissediyorum.,kendimi,beni,hissediyorum,binding
İş isi yaparken kendimi oldukça gergin hissettim.,İş isi yaparken beni oldukça gergin hissettim.,kendimi,beni,hissettim,binding
O halde ders çalışırken kendimi odaklanmaya zorladım.,O halde ders çalışırken beni odaklanmaya zorladım.,kendimi,beni,zorladım,binding
Elle tutulur bir durumdun olmayınca kendine yapay dertler yaratıyorsun.,Elle tutulur bir durumdun olmayınca sana yapay dertler yaratıyorsun.,kendine,sana,yaratıyorsun,binding
Bir insanlar öğrenirken kendimi daha açık fikirli olmaya zorluyorum.,Bir insanlar öğrenirken beni daha açık fikirli olmaya zorluyorum.,kendimi,beni,zorluyorum,binding
Sahneye çıkmadan önce kendine aynada son bir kere bak.,Sahneye çıkmadan önce sana aynada son bir kere bak.,kendine,sana,bak,binding
Yani onunla yüzleşmek için kendimi uzun süre hazırladım.,Yani onunla yüzleşmek için beni uzun süre hazırladım.,kendimi,beni,hazırladım,binding
Böyle durumlarda kendimizi onun yerine koyuyoruz.,Böyle durumlarda bizi onun yerine koyuyoruz.,kendimizi,bizi,koyuyoruz,binding
Öyle görünüyor ki hedeflerine ulaşmak için kendine güvenmelisin.,Öyle görünüyor ki hedeflerine ulaşmak için sana güvenmelisin.,kendine,sana,güvenmelisin,binding
Anlaşılıyor ki dışarıda yürüyüş yaparken kendimi özgür hissediyorum.,Anlaşılıyor ki dışarıda yürüyüş yaparken beni özgür hissediyorum.,kendimi,beni,hissediyorum,binding
Eğitim salonunda kendimi profesyonel hissediyorum.,Eğitim salonunda beni profesyonel hissediyorum.,kendimi,beni,hissediyorum,binding
Öğrenci kulüplerine katıldığımda kendimi sosyal hissediyorum.,Öğrenci kulüplerine katıldığımda beni sosyal hissediyorum.,kendimi,beni,hissediyorum,binding
O halde düzenli spor yapınca kendini daha iyi hissediyor.,O halde düzenli spor yapınca seni daha iyi hissediyor.,kendini,seni,hissediyor,binding
Gece merkezde yalnız yürürken kendimizi gergin hissedebiliriz.,Gece merkezde yalnız yürürken bizi gergin hissedebiliriz.,kendimizi,bizi,hissedebiliriz,binding
Demek ki kendimi uzun bir süredir huzurlu hissediyorum.,Demek ki beni uzun bir süredir huzurlu hissediyorum.,kendimi,beni,hissediyorum,binding
Aynaya bakınca kendimi tanıyamadım.,Aynaya bakınca beni tanıyamadım.,kendimi,beni,tanıyamadım,binding
Görünüşe göre kendimi uzun bir süredir huzurlu hissediyorum.,Görünüşe göre beni uzun bir süredir huzurlu hissediyorum.,kendimi,beni,hissediyorum,binding
Müze gezmeye giderken kendimi biliye daha yakın hissediyorum.,Müze gezmeye giderken beni biliye daha yakın hissediyorum.,kendimi,beni,hissediyorum,binding
Kamp yaparken zorlansak da kendimizi evrimin tadını çıkarmaya odakladık.,Kamp yaparken zorlansak da bizi evrimin tadını çıkarmaya odakladık.,kendimizi,bizi,odakladık,binding
Zorlu süreçlerden geçerken kendini hasar etmemelisin.,Zorlu süreçlerden geçerken seni hasar etmemelisin.,kendini,seni,etmemelisin,binding
Elimden servini yaptığımı biliyorsam kendime daha fazla yüklenmem.,Elimden servini yaptığımı biliyorsam bana daha fazla yüklenmem.,kendime,bana,yüklenmem,binding
Şu halde elimden geleni yaptığımı biliyorsam kendime daha fazla yüklenmem.,Şu halde elimden geleni yaptığımı biliyorsam bana daha fazla yüklenmem.,kendime,bana,yüklenmem,binding
Ortam gerilince kendinizi sakinleştirmeyi bilmelisiniz.,Ortam gerilince sizi sakinleştirmeyi bilmelisiniz.,kendinizi,sizi,bilmelisiniz,binding
Kamp yaparken zorlansam da kendimi havayla iç içe buluyorum.,Kamp yaparken zorlansam da beni havayla iç içe buluyorum.,kendimi,beni,buluyorum,binding
Kamp aranda hazırlıkları yaparken kendimi çok daha kontrollü hissediyorum.,Kamp aranda hazırlıkları yaparken beni çok daha kontrollü hissediyorum.,kendimi,beni,hissediyorum,binding
Görünüşe göre söz almadan önce kendimi biraz toparladım.,Görünüşe göre söz almadan önce beni biraz toparladım.,kendimi,beni,toparladım,binding
Yeni projeye başlamak için kendimi motivasyon ediyorum.,Yeni projeye başlamak için beni motivasyon ediyorum.,kendimi,beni,ediyorum,binding
Şu halde başarılı olmak için kendime bazı hedefler koydum.,Şu halde başarılı olmak için bana bazı hedefler koydum.,kendime,bana,koydum,binding
İyi durum yapmak için kendimi mutfakta geliştiriyorum.,İyi durum yapmak için beni mutfakta geliştiriyorum.,kendimi,beni,geliştiriyorum,binding
Eleştirilere göz asmayıp kendimi geliştirmeye devam ediyorum.,Eleştirilere göz asmayıp beni geliştirmeye devam ediyorum.,kendimi,beni,ediyorum,binding
Kusurlarına kafayı taktığın için sürekli kendini ciltte inceliyorsun.,Kusurlarına kafayı taktığın için sürekli seni ciltte inceliyorsun.,kendini,seni,inceliyorsun,binding
Anlaşılan seyahate çıkınca kendimi sürekli olarak yeni yerler keşfetmeye teşvik ediyorum.,Anlaşılan seyahate çıkınca beni sürekli olarak yeni yerler keşfetmeye teşvik ediyorum.,kendimi,beni,teşvik ediyorum,binding
Gelecekteki kitaplarım için kendimi hazırlamalıyım.,Gelecekteki kitaplarım için beni hazırlamalıyım.,kendimi,beni,hazırlamalıyım,binding
Anlaşılan hedeflerine ulaşmak için kendine güvenmelisin.,Anlaşılan hedeflerine ulaşmak için sana güvenmelisin.,kendine,sana,güvenmelisin,binding
Yoğun bir hafta sonu sonrası kendimi bir fincan kahveyle ödüllendiriyorum.,Yoğun bir hafta sonu sonrası beni bir fincan kahveyle ödüllendiriyorum.,kendimi,beni,ödüllendiriyorum,binding
Köpeğimi gezdirirken kendimi mutlu hissediyorum.,Köpeğimi gezdirirken beni mutlu hissediyorum.,kendimi,beni,hissediyorum,binding
Artık işe gitmeden önce kendime beslenme bavulu hazırlıyorum.,Artık işe gitmeden önce bana beslenme bavulu hazırlıyorum.,kendime,bana,hazırlıyorum,binding
Bir hareketler öğrenirken kendimi daha açık fikirli olmaya zorluyorum.,Bir hareketler öğrenirken beni daha açık fikirli olmaya zorluyorum.,kendimi,beni,zorluyorum,binding
İşe dönmeden önce kendimize bir güzellik yapıp sauna aldık.,İşe dönmeden önce bize bir güzellik yapıp sauna aldık.,kendimize,bize,aldık,binding
Özgür hissetmek için kendimi burada vakit geçirmeye zorladım.,Özgür hissetmek için beni burada vakit geçirmeye zorladım.,kendimi,beni,zorladım,binding
O halde ailemi uzun süre görmeyince kendimi eksik hissettim.,O halde ailemi uzun süre görmeyince beni eksik hissettim.,kendimi,beni,hissettim,binding
Eleştirilere tıp asmayıp kendimi geliştirmeye devam ediyorum.,Eleştirilere tıp asmayıp beni geliştirmeye devam ediyorum.,kendimi,beni,ediyorum,binding
Demek ki dans ederken kendimi fazla kaptırıyorum.,Demek ki dans ederken beni fazla kaptırıyorum.,kendimi,beni,kaptırıyorum,binding
Şu halde bunu başardığımda kendimi çok gururlu hissedeceğim.,Şu halde bunu başardığımda beni çok gururlu hissedeceğim.,kendimi,beni,hissedeceğim,binding
Öyle görünüyor ki köpeğimi gezdirirken kendimi mutlu hissediyorum.,Öyle görünüyor ki köpeğimi gezdirirken beni mutlu hissediyorum.,kendimi,beni,hissediyorum,binding
Anlaşılan dans ederken kendimi fazla kaptırıyorum.,Anlaşılan dans ederken beni fazla kaptırıyorum.,kendimi,beni,kaptırıyorum,binding
