good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Düğünde solisti Kerem ve çiçekleri Aslı ayarladı.,Düğünde solisti Kerem ve Aslı çiçekleri ayarladı.,çiçekleri Aslı,Aslı çiçekleri,-,ellipsis
Köşedeki odada köfteyi küçük hanım balığı ise annesi istedi.,Köşedeki odada köfteyi küçük hanım annesi ise balığı istedi.,balığı ise annesi,annesi ise balığı,-,ellipsis
"Akşam salatayı abim, tatlıyı da babam yaptı.","Akşam salatayı abim, babam da tatlıyı yaptı.",tatlıyı da babam,babam da tatlıyı,-,ellipsis
Bahçede yavruyu Gökhan ve kediyi Melike besledi.,Bahçede yavruyu Gökhan ve Melike kediyi besledi.,kediyi Melike,Melike kediyi,-,ellipsis
Törende belgeyi Beren ve plaketi Serkan aldı.,Törende belgeyi Beren ve Serkan plaketi aldı.,plaketi Serkan,Serkan plaketi,-,ellipsis
Tatil köyünde güneş merhemini Arda ve havluyu Derin getirdi.,Tatil köyünde güneş merhemini Arda ve Derin havluyu getirdi.,havluyu Derin,Derin havluyu,-,ellipsis
Babalar gününde saati Deniz kravatı da Umut hediye etti.,Babalar gününde saati Deniz Umut da kravatı hediye etti.,kravatı da Umut,Umut da kravatı,-,ellipsis
Sınav için dersleri Zeynep ve kitapları Hasan aldı.,Sınav için dersleri Zeynep ve Hasan kitapları aldı.,kitapları Hasan,Hasan kitapları,-,ellipsis
Tatilde ablam videoyu ve kardeşim dergiyi kaybetti.,Tatilde ablam videoyu ve dergiyi kardeşim kaybetti.,kardeşim dergiyi,dergiyi kardeşim,-,ellipsis
Mutfakta yaprakları Gülce ve meyveleri Tuna doğradı.,Mutfakta yaprakları Gülce ve Tuna meyveleri doğradı.,meyveleri Tuna,Tuna meyveleri,-,ellipsis
Mutfakta havuzları Gülce ve meyveleri Tuna doğradı.,Mutfakta havuzları Gülce ve Tuna meyveleri doğradı.,meyveleri Tuna,Tuna meyveleri,-,ellipsis
Kafede sigarayı Emre ve tatlıyı Naz sipariş etti.,Kafede sigarayı Emre ve Naz tatlıyı sipariş etti.,tatlıyı Naz,Naz tatlıyı,-,ellipsis
Sondaj çalışmalarında vanayı teknisyen ve boruyu mühendis inceledi.,Sondaj çalışmalarında vanayı teknisyen ve mühendis boruyu inceledi.,boruyu mühendis,mühendis boruyu,-,ellipsis
Sahilde filmi Okan ve sandalyeyi Şule taşıdı.,Sahilde filmi Okan ve Şule sandalyeyi taşıdı.,sandalyeyi Şule,Şule sandalyeyi,-,ellipsis
