good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Sabah okul bahçesinde koşuldu.;Sabah öğrenciler tarafından okul bahçesinde koşuldu.;∅;öğrenciler tarafından;koşuldu;passives
Her sene bir yaş daha büyünür.;Her sene çocuklar tarafından bir yaş daha büyünür.;∅;çocuklar tarafından;büyünür;passives
Kanalda hemen batılıyor.;Kanalda düşenler tarafından hemen batılıyor.;∅;düşenler tarafından;batılıyor;passives
Akıntı uyarısı yapılan kıyılarda katiyen yüzülmemeli.;Akıntı uyarısı yapılan kıyılarda gençler tarafından katiyen yüzülmemeli.;∅;gençler tarafından;yüzülmemeli;passives
Alışınca çok gürültülü ortamlarda bile uyunur.;Alışınca bebekler tarafından çok gürültülü ortamlarda bile uyunur.;∅;bebekler tarafından;uyunur;passives
Final döneminde eski kütüphanede çalışıldı.;Final döneminde öğrenciler tarafından eski kütüphanede çalışıldı.;∅;öğrenciler tarafından;çalışıldı;passives
Boğaz havasında çok güzel yürünür.;Boğaz havasında insanlar tarafından çok güzel yürünür.;∅;insanlar tarafından;yürünür;passives
Baloda saatlerce dans edildi.;Baloda davetliler tarafından saatlerce dans edildi.;∅;davetliler tarafından;dans edildi;passives
Serbest dalışta 10 metreden atlanıyor.;Serbest dalışta sporcular tarafından 10 metreden atlanıyor.;∅;sporcular tarafından;atlanıyor;passives
Otobüs yolda kalınca soğukta donuldu.;Otobüs yolda kalınca yolcular tarafından soğukta donuldu.;∅;yolcular tarafından;donuldu;passives
Yazın bu sahilde rahatça yüzülür.;Yazın turistler tarafından bu sahilde rahatça yüzülür.;∅;turistler tarafından;yüzülür;passives
Yaz akşamları sahilde keyifle yürünür.;Yaz akşamları çiftler tarafından sahilde keyifle yürünür.;∅;çiftler tarafından;yürünür;passives
Kütüphanede tam bir sessizlik içinde çalışıldı.;Kütüphanede araştırmacılar tarafından tam bir sessizlik içinde çalışıldı.;∅;araştırmacılar tarafından;çalışıldı;passives
