good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Bebeğin eline sallayınca ses çıkaran bir oyuncak verdi.,Bebeğin eline sallayınca ses çıkaran oyuncak verdi.,bir,∅,oyuncak,determiners
Nazan rengi kırmızıya çalan bir elbise beğendi.,Nazan rengi kırmızıya çalan elbise beğendi.,bir,∅,elbise,determiners
Mezuniyet hediyesi olarak fiyatı uygun gelen bir araba alırız.,Mezuniyet hediyesi olarak fiyatı uygun gelen araba alırız.,bir,∅,araba,determiners
Geçen sene köyde kerpiçten yapılan bir baraka gördüm.,Geçen sene köyde kerpiçten yapılan baraka gördüm.,bir,∅,baraka,determiners
İçinde bolca ceviz ve tarçın olan bir kek yaptılar.,İçinde bolca ceviz ve tarçın olan kek yaptılar.,bir,∅,kek,determiners
Gece izlemek için herkesin övgüyle bahsettiği bir film seçtiler.,Gece izlemek için herkesin övgüyle bahsettiği film seçtiler.,bir,∅,film,determiners
Notere Fransızca'ya çevirisini yaptırdığı bir evrak götürdü.,Notere Fransızca'ya çevirisini yaptırdığı evrak götürdü.,bir,∅,evrak,determiners
Ders çalışmak için sabahları kalabalık olmayan bir kafe arıyorum.,Ders çalışmak için sabahları kalabalık olmayan kafe arıyorum.,bir,∅,kafe,determiners
Mimar Sinan'ın hayatının anlatıldığı bir belgesel izledik.,Mimar Sinan'ın hayatının anlatıldığı belgesel izledik.,bir,∅,belgesel,determiners
Ofise mis gibi kokan bir çiçek geldi.,Ofise mis gibi kokan çiçek geldi.,bir,∅,çiçek,determiners
Sabahları içimi ısıtan bir çorba içmeyi seviyorum.,Sabahları içimi ısıtan çorba içmeyi seviyorum.,bir,∅,çorba,determiners
Yarın plajda okumak için sürükleyici bir roman aldım.,Yarın plajda okumak için sürükleyici roman aldım.,bir,∅,roman,determiners
Kamp yaparken kullanışlı olacak bir çadır satın aldık.,Kamp yaparken kullanışlı olacak çadır satın aldık.,bir,∅,çadır,determiners
Yeni açılan lokantada şef tarafından önerilen bir tatlı denedik.,Yeni açılan lokantada şef tarafından önerilen tatlı denedik.,bir,∅,tatlı,determiners
Dönerken götürmek için çok tüketilen bir peynir seçtim.,Dönerken götürmek için çok tüketilen peynir seçtim.,bir,∅,peynir,determiners
Otobüste okumak için eğlenceli bir dergi aldım.,Otobüste okumak için eğlenceli dergi aldım.,bir,∅,dergi,determiners
Sabah kahvaltısında yemek için doyurucu bir sandviç aldım.,Sabah kahvaltısında yemek için doyurucu sandviç aldım.,bir,∅,sandviç,determiners
Akşam yemeğine eşlik etmesi için lezzetli bir çorba yaptım.,Akşam yemeğine eşlik etmesi için lezzetli çorba yaptım.,bir,∅,çorba,determiners
Arkadaşıma hediye etmek için şık bir saat seçtim.,Arkadaşıma hediye etmek için şık saat seçtim.,bir,∅,saat,determiners
