good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Eda hediyesine resmen bayıldı.,Eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
İnternette her okuduğun şeye körü körüne inanma.,İnternette her okuduğun şeyi körü körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
Eşimin zevkine çok güvenirim.,Eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Ben artık sana sadece acıyorum.,Ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Bizim ufaklık sıra arkadaşından baya hoşlanıyormuş.,Bizim ufaklık sıra arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Muhalefet partisi erken seçimde hala ısrar ediyor.,Muhalefet partisi erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Saygısız çalışan yaşlı kadınla resmen alay etti.,Saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Senin bu hallerinden bıktım.,Senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Balayı için Urla'da karar kılmışlar.,Balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Bu konuya çok kafa yordum.,Bu konuyu çok kafa yordum.,konuya,konuyu,yordum,argument_structure,transitive
Bütün gün seni düşündüm.,Bütün gün senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Bu şarkıya bayılıyorum.,Bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Arkadaşımın doğum gününü unuttum.,Arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Yarın size de gelirim.,Yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
Bu habere çok sevindim.,Bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Kedim balkondan düştü.,Kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Annem her zaman bana destek olur.,Annem her zaman beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Öğretmenimiz bize çok kızdı.,Öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Bu filme bayılıyoruz.,Bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Bu şehri çok seviyorum.,Bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Bu gözlüğü çok beğendim.,Bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Yeni bir hobiye başladık.,Yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
Bu öneriye sıcak baktı.,Bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Komşularımla iyi geçiniyorum.,Komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Bu kitap serisine bayıldım.,Bu kitap serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Onun doğruyu söylediğine inanıyorum.,Onun doğruyu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Tatile çıkma fikrine çok ısındım.,Tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Bu duruma çok üzüldüler.,Bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Yeni projeye başlamaya karar verdiler.,Yeni projeye başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Onun tepkisine çok şaşırdım.,Onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Bu tabloya hayran kaldım.,Bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Ona büyük saygı duyuyorum.,Onu büyük saygı duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Yeni bir işe girdim.,Yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
Ona koşulsuz destek oluyorum.,Onu koşulsuz destek oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Bu projeye çok önem veriyoruz.,Bu projeyi çok önem veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Son duruma çok şaşırdım.,Son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
Sana her zaman güveniyorum.,Seni her zaman güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Bu sınava günlerce çalıştım.,Bu sınavı günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Onun söylediklerine katılıyorum.,Onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Şu değişikliklere oldum olası alışamadım.,Şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Annemin sözlerine kulak verdim.,Annemin sözlerini kulak verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Konferansa katılmaya karar verdim.,Konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Oyunlara fazla kapılmamalısın.,Oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Dün yaptıklarından sonra sana çok kırıldım.,Dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Etkinliğe katılmayı düşünüyorlar.,Etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Gözden kaçan hataya çok üzüldüm.,Gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Tartışmaya girmeyi sevmem.,Tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Seni buralarda görmeye son zamanlarda iyice alıştım.,Seni buralarda görmeyi son zamanlarda iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Zorlu bir süreçten sonra elde ettiğin bu başarıya sevindim.,Zorlu bir süreçten sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Eda yeni elbisesine resmen hayran kaldı.,Eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
İnternette her gördüğün habere körü körüne inanma.,İnternette her gördüğün haberi körü körüne inanma.,habere,haberi,inanma,argument_structure,transitive
Eşimin kararlarına çok güvenirim.,Eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Ben artık ona sadece gülüyorum.,Ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Doktor bey yaşlı hastayla özel olarak ilgileniyor.,Doktor bey yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Bizim kuşumuz komşunun kedisinden baya korkuyormuş.,Bizim kuşumuz komşunun kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Hükümet partisi yeni yasada hala ısrar ediyor.,Hükümet partisi yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Kaba müşteri genç garsonla resmen dalga geçti.,Kaba müşteri genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Senin bu tavırlarından bıktım.,Senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Tatil için Bodrum'da karar kılmışlar.,Tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Bu soruna çok kafa yordum.,Bu sorunu çok kafa yordum.,soruna,sorunu,yordum,argument_structure,transitive
Bütün gece onu düşündüm.,Bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Bu türküye bayılıyorum.,Bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Kardeşimin mezuniyetini unuttum.,Kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Yarın onlara da uğrarım.,Yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Bu müjdeye çok sevindim.,Bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Köpeğim merdivenlerden düştü.,Köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Babam her zaman bana destek olur.,Babam her zaman beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Müdürümüz bize çok kızdı.,Müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Bu diziye bayılıyoruz.,Bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Bu kasabayı çok seviyorum.,Bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Bu saati çok beğendim.,Bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Yeni bir spora başladık.,Yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
Bu fikre sıcak baktı.,Bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Akrabalarımla iyi geçiniyorum.,Akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Bu film serisine bayıldım.,Bu film serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Onun doğruyu söylediğine inanıyorum.,Onun doğruyu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Tatile çıkma planına çok ısındım.,Tatile çıkma planını çok ısındım.,planına,planını,ısındım,argument_structure,transitive
Bu olaya çok üzüldüler.,Bu olayı çok üzüldüler.,olaya,olayı,üzüldüler,argument_structure,transitive
Yeni projeye başlamaya karar verdiler.,Yeni projeye başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
